name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Iranian Environmentalists Society,,IRN,fa,Tehran,@iran_env_society,not_sure,,,ngo,Focus on environmental protection in Tehran
Tehran Peace Institute,,IRN,fa,Tehran,@tehranpeace,not_sure,,,ngo,Promotes peace and conflict resolution
Climate Action Iran,,IRN,fa,Tehran,@climateactioniran,not_sure,,,ngo,Advocates for climate change awareness
Nature Conservation Society of Iran,,IRN,fa,Tehran,@ncs_iran,not_sure,,,ngo,Dedicated to nature conservation efforts
Iranian Biodiversity Foundation,,IRN,fa,Tehran,@iranbiodiversity,not_sure,,,ngo,Focuses on biodiversity preservation
Tehran Green City Initiative,,IRN,fa,Tehran,@tehrangreencity,not_sure,,,ngo,Promotes urban sustainability
Iranian Geopolitical Society,,IRN,fa,Tehran,@irangeopolitics,not_sure,,,ngo,Analyzes geopolitical issues in Iran
Peace and Environment Network,,IRN,fa,Tehran,@peace_env_iran,not_sure,,,ngo,Links peace initiatives with environmentalism
Tehran Wildlife Protection,,IRN,fa,Tehran,@tehranwildlife,not_sure,,,ngo,Works on wildlife conservation in Tehran
Iranian Climate Network,,IRN,fa,Tehran,@iranclimatenetwork,not_sure,,,ngo,Network of climate-focused NGOs
Tehran Environmental Volunteers,,IRN,fa,Tehran,@tehran_env_volunteers,not_sure,,,ngo,Volunteer group for environmental activities
Iranian Peace and Security Council,,IRN,fa,Tehran,@iranpeacecouncil,not_sure,,,ngo,Focuses on peace and security issues
Tehran Urban Ecology Center,,IRN,fa,Tehran,@tehranurbanecology,not_sure,,,ngo,Researches urban ecological solutions
Iranian Society for Environmental Education,,IRN,fa,Tehran,@iran_env_education,not_sure,,,ngo,Promotes environmental education programs
Tehran Climate Advocacy Group,,IRN,fa,Tehran,@tehranclimateadvocacy,not_sure,,,ngo,Advocates for climate policy changes
Iranian Green Movement,,IRN,fa,Tehran,@iran_green_movement,not_sure,,,ngo,Promotes green policies and practices
Tehran Peace and Environment Coalition,,IRN,fa,Tehran,@tehranpeaceenv,not_sure,,,ngo,Coalition linking peace and environmental efforts
Iranian Environmental Research Institute,,IRN,fa,Tehran,@iran_env_research,not_sure,,,ngo,Conducts research on environmental issues
Tehran Biodiversity Alliance,,IRN,fa,Tehran,@tehranbiodiversity,not_sure,,,ngo,Alliance for biodiversity conservation
Iranian Society for Nature Protection,,IRN,fa,Tehran,@iran_nature_protection,not_sure,,,ngo,Focuses on protecting natural habitats
Tehran Environmental Justice Group,,IRN,fa,Tehran,@tehran_env_justice,not_sure,,,ngo,Advocates for environmental justice
Iranian Peacebuilding Network,,IRN,fa,Tehran,@iranpeacebuilding,not_sure,,,ngo,Network focused on peacebuilding efforts
Tehran Climate Resilience Center,,IRN,fa,Tehran,@tehranclimateresilience,not_sure,,,ngo,Works on climate resilience strategies
Iranian Society for Geopolitical Studies,,IRN,fa,Tehran,@iran_geopolitical_studies,not_sure,,,ngo,Studies geopolitical impacts on Iran
Tehran Environmental Policy Institute,,IRN,fa,Tehran,@tehran_env_policy,not_sure,,,ngo,Focuses on environmental policy development
Iranian Wildlife Conservation Society,,IRN,fa,Tehran,@iranwildlife,not_sure,,,ngo,Dedicated to wildlife conservation
Tehran Peace and Conflict Resolution Center,,IRN,fa,Tehran,@tehranpeaceconflict,not_sure,,,ngo,Focuses on conflict resolution strategies
Iranian Society for Climate Action,,IRN,fa,Tehran,@iran_climate_action,not_sure,,,ngo,Promotes climate action initiatives
Tehran Nature and Wildlife Group,,IRN,fa,Tehran,@tehrannaturewildlife,not_sure,,,ngo,Focuses on nature and wildlife protection
Iranian Environmental Advocacy Network,,IRN,fa,Tehran,@iran_env_advocacy,not_sure,,,ngo,Network advocating for environmental issues
Tehran Peace and Security Initiative,,IRN,fa,Tehran,@tehranpeaceinitiative,not_sure,,,ngo,Initiative for peace and security
Iranian Society for Urban Ecology,,IRN,fa,Tehran,@iran_urban_ecology,not_sure,,,ngo,Focuses on urban ecological research
Tehran Climate and Energy Group,,IRN,fa,Tehran,@tehranclimateenergy,not_sure,,,ngo,Works on climate and energy solutions
Iranian Peace and Environment Forum,,IRN,fa,Tehran,@iranpeaceenvforum,not_sure,,,ngo,Forum linking peace and environment
Tehran Biodiversity and Conservation Society,,IRN,fa,Tehran,@tehranbiodiversitysociety,not_sure,,,ngo,Focuses on biodiversity conservation
Iranian Society for Environmental Justice,,IRN,fa,Tehran,@iran_env_justice,not_sure,,,ngo,Advocates for environmental justice issues
Tehran Peacebuilding and Conflict Resolution Network,,IRN,fa,Tehran,@tehranpeacebuilding,not_sure,,,ngo,Network for peacebuilding and conflict resolution
Iranian Climate Resilience Network,,IRN,fa,Tehran,@iranclimateresilience,not_sure,,,ngo,Network focused on climate resilience
Tehran Geopolitical Analysis Group,,IRN,fa,Tehran,@tehrangeopolitical,not_sure,,,ngo,Analyzes geopolitical trends in Tehran
Iranian Environmental Policy Network,,IRN,fa,Tehran,@iran_env_policy,not_sure,,,ngo,Network for environmental policy advocacy
Tehran Wildlife and Nature Protection Society,,IRN,fa,Tehran,@tehranwildlifeprotection,not_sure,,,ngo,Focuses on wildlife and nature protection
Iranian Peace and Security Network,,IRN,fa,Tehran,@iranpeace_security,not_sure,,,ngo,Network for peace and security initiatives
Tehran Urban Environmental Group,,IRN,fa,Tehran,@tehranurbanenv,not_sure,,,ngo,Focuses on urban environmental issues
Iranian Society for Climate and Energy,,IRN,fa,Tehran,@iran_climate_energy,not_sure,,,ngo,Focuses on climate and energy solutions
Tehran Peace and Environment Network,,IRN,fa,Tehran,@tehranpeaceenvnetwork,not_sure,,,ngo,Network linking peace and environment
Iranian Biodiversity and Conservation Network,,IRN,fa,Tehran,@iranbiodiversitynetwork,not_sure,,,ngo,Network for biodiversity conservation
Tehran Environmental Justice Network,,IRN,fa,Tehran,@tehran_env_justice_network,not_sure,,,ngo,Network advocating for environmental justice
Iranian Peacebuilding and Conflict Resolution Society,,IRN,fa,Tehran,@iranpeacebuildingconflict,not_sure,,,ngo,Society for peacebuilding and conflict resolution
Tehran Climate Resilience Initiative,,IRN,fa,Tehran,@tehranclimateresilienceinitiative,not_sure,,,ngo,Initiative for climate resilience
Iranian Geopolitical Research Institute,,IRN,fa,Tehran,@irangeopoliticalresearch,not_sure,,,ngo,Researches geopolitical issues in Iran
Tehran Environmental Policy Network,,IRN,fa,Tehran,@tehran_env_policy_network,not_sure,,,ngo,Network for environmental policy development
Iranian Wildlife and Nature Conservation Society,,IRN,fa,Tehran,@iranwildlifeconservation,not_sure,,,ngo,Society for wildlife and nature conservation
Tehran Peace and Security Network,,IRN,fa,Tehran,@tehranpeace_security,not_sure,,,ngo,Network for peace and security initiatives
Iranian Urban Environmental Society,,IRN,fa,Tehran,@iranurbanenvsociety,not_sure,,,ngo,Society for urban environmental issues
Tehran Climate and Energy Network,,IRN,fa,Tehran,@tehranclimateenergynetwork,not_sure,,,ngo,Network for climate and energy solutions
Iranian Peace and Environment Coalition,,IRN,fa,Tehran,@iranpeaceenvcoalition,not_sure,,,ngo,Coalition linking peace and environment
