name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Emily Chung,,CAN,en,Toronto,@emilychungcbc,@emilychungcbc,,CBC News,journalist,Covers environment and science for CBC
Fatima Syed,,CAN,en,Toronto,@fatimabsyed,@fatimabsyed,,The Narwhal,journalist,Reports on climate and environmental issues
Ben Spurr,,CAN,en,Toronto,@BenSpurr,@BenSpurr,,Toronto Star,journalist,Covers transportation and urban issues
Leyland Cecco,,CAN,en,Toronto,@leylandcecco,@leylandcecco,,The Guardian,journalist,"Covers Canadian news, including environment"
Angela Bischoff,,CAN,en,Toronto,@angelabischoff,not_sure,,Ontario Clean Air Alliance,journalist,Advocates for clean air and energy
Merran Smith,,CAN,en,Toronto,@merransmith,not_sure,,Clean Energy Canada,journalist,Focuses on clean energy transition
Adrian Morrow,,CAN,en,Toronto,@adrianmorrow,@AdrianMorrow,,The Globe and Mail,journalist,Covers politics and policy
Emma McIntosh,,CAN,en,Toronto,@EmmaMci,@EmmaMci,,National Observer,journalist,Reports on environmental issues
Shawn Micallef,,CAN,en,Toronto,@shawnmicallef,@shawnmicallef,,Toronto Star,journalist,Writes about urbanism and city issues
David Suzuki,,CAN,en,Toronto,@davidsuzukifdn,@DavidSuzuki,,David Suzuki Foundation,journalist,Prominent environmental activist and broadcaster
Alanna Mitchell,,CAN,en,Toronto,@alannajmitchell,not_sure,,Freelance,journalist,Writes on global environmental issues
Naomi Klein,,CAN,en,Toronto,@naomiklein,@NaomiAKlein,,Freelance,journalist,Author and activist on climate change
Desmond Cole,,CAN,en,Toronto,@desmondcole,@DesmondCole,,Freelance,journalist,Covers social justice and urban issues
Andrew Nikiforuk,,CAN,en,Toronto,@andrewnikiforuk,not_sure,,The Tyee,journalist,Writes on energy and environment
Tanya Talaga,,CAN,en,Toronto,@tanyatalaga,@TanyaTalaga,,Freelance,journalist,Covers Indigenous issues and environment
Sabrina Maddeaux,,CAN,en,Toronto,@sabmaddeaux,@SabrinaMaddeaux,,National Post,journalist,Writes on culture and politics
Martin Lukacs,,CAN,en,Toronto,@Martin_Lukacs,@Martin_Lukacs,,The Guardian,journalist,Covers climate and politics
Sarah Berman,,CAN,en,Toronto,@sarahberms,@sarahberms,,VICE Canada,journalist,Reports on social issues and environment
Jesse Brown,,CAN,en,Toronto,@JesseBrown,@JesseBrown,,CANADALAND,journalist,Covers media and politics
Michelle Shephard,,CAN,en,Toronto,@shephardm,@shephardm,,Freelance,journalist,Covers security and international affairs
Azeezah Kanji,,CAN,en,Toronto,@azeezah_kanji,not_sure,,Freelance,journalist,Writes on law and social justice
