name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Monica Eng,,USA,en,Chicago,@monicaeng89,not_sure,,WBEZ Chicago,journalist,Covers food and environment issues
Tony Briscoe,,USA,en,Chicago,@_tonybriscoe,not_sure,,ProPublica,journalist,Investigates environmental justice
Darryl Holliday,,USA,en,Chicago,@d_holliday,not_sure,,City Bureau,journalist,Focuses on civic journalism and community
Brett Chase,,USA,en,Chicago,@brettchase,not_sure,,Chicago Sun-Times,journalist,Reports on environment and public health
Alex Nitkin,,USA,en,Chicago,@alexnitkin,not_sure,,Block Club Chicago,journalist,Covers local government and policy
Morgan Elise Johnson,,USA,en,Chicago,@morgan_elise,not_sure,,The TRiiBE,journalist,Focuses on Black community issues
Paris Schutz,,USA,en,Chicago,@paschutz,not_sure,,WTTW News,journalist,Covers politics and public affairs
Yana Kunichoff,,USA,en,Chicago,@yanakunichoff,not_sure,,Chalkbeat Chicago,journalist,Reports on education and policy
Maya Dukmasova,,USA,en,Chicago,@mdoukmas,not_sure,,Chicago Reader,journalist,Writes on housing and social issues
Adeshina Emmanuel,,USA,en,Chicago,@public_adesina,not_sure,,Injustice Watch,journalist,Covers criminal justice and equity
Natalie Moore,,USA,en,Chicago,@natalieymoore,not_sure,,WBEZ Chicago,journalist,"Focuses on race, class, and communities"
A.D. Quig,,USA,en,Chicago,@ad_quig,not_sure,,Crain's Chicago Business,journalist,Covers politics and government
Justin Kaufmann,,USA,en,Chicago,@justkaufmann,not_sure,,WBEZ Chicago,journalist,Hosts public affairs and culture shows
Kristen Schorsch,,USA,en,Chicago,@kschorsch,not_sure,,WBEZ Chicago,journalist,Reports on health and public policy
Mick Dumke,,USA,en,Chicago,@mickeyd1971,not_sure,,ProPublica,journalist,Investigates government and politics
Arielle Zionts,,USA,en,Chicago,@ariellezionts,not_sure,,WBEZ Chicago,journalist,Covers health and social services
Sarah Conway,,USA,en,Chicago,@sarahdconway,not_sure,,City Bureau,journalist,Focuses on community-driven reporting
Evan Garcia,,USA,en,Chicago,@evan_garcia,not_sure,,WTTW News,journalist,Covers arts and culture
Marissa Parra,,USA,en,Chicago,@marissaparra,not_sure,,CBS Chicago,journalist,Reports on breaking news and features
Heather Cherone,,USA,en,Chicago,@heathercherone,not_sure,,WTTW News,journalist,Covers city politics and government
Clare Proctor,,USA,en,Chicago,@clareproctor,not_sure,,Chicago Tribune,journalist,Reports on local news and events
John Greenfield,,USA,en,Chicago,@greenfieldjohn,@greenfieldjohn,,Streetsblog Chicago,journalist,Covers transportation and urban planning
Kelly Bauer,,USA,en,Chicago,@bauerjournalism,@BauerJournalism,,Block Club Chicago,journalist,Reports on breaking news and community
Gregory Pratt,,USA,en,Chicago,@royalpratt,@royalpratt,,Chicago Tribune,journalist,Covers city hall and politics
Elvia Malagón,,USA,en,Chicago,@elviamalagon,@elviamalagon,,Chicago Sun-Times,journalist,Reports on social justice and equity
