name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Tolu Ogunlesi,,NGA,en,Lagos,@toluogunlesi,@toluogunlesi,,The Punch,journalist,Covers geopolitics and international affairs
Funke Egbemode,,NGA,en,Lagos,@funkeegbemode,not_sure,,New Telegraph,journalist,Writes on national and international politics
Chinwe Agbeze,,NGA,en,Lagos,@chinweagbeze,not_sure,,BusinessDay,journalist,Focuses on climate change impacts
Fisayo Soyombo,,NGA,en,Lagos,@fisayosoyombo,@fisayosoyombo,,The Cable,journalist,Investigative journalist on environmental issues
Kemi Busari,,NGA,en,Lagos,@kemi_busari,@KemiBusari_,,Premium Times,journalist,Covers peace and conflict reporting
Motunrayo Alaka,,NGA,en,Lagos,@motunrayoalaka,not_sure,,Wole Soyinka Centre,journalist,Focus on environmental journalism
Chinedu Asadu,,NGA,en,Lagos,@chinedu_asadu,@chinedu_asadu,,The Associated Press,journalist,Reports on climate and politics
Oluwatobi Aworinde,,NGA,en,Lagos,@tobi_aworinde,@tobi_aworinde,,The Punch,journalist,Writes on environmental policies
Amaka Anku,,NGA,en,Lagos,@amakaanku,@AmakaAnku,,Eurasia Group,journalist,Geopolitical analyst with focus on Africa
Eromo Egbejule,,NGA,en,Lagos,@eromoegbejule,@EromoEgbejule,,The Guardian,journalist,Covers climate and cultural stories
Oluwatosin Adeshokan,,NGA,en,Lagos,@tosinadeda,@tosinadeda,,Quartz Africa,journalist,Writes on climate change and technology
Oluwaseun Akingboye,,NGA,en,Lagos,@seunakingboye,not_sure,,The Guardian,journalist,Focuses on environmental reporting
Aisha Salaudeen,,NGA,en,Lagos,@ayeesha_s,@AishaSalaudeen,,CNN Africa,journalist,Covers African geopolitics and climate
Ijeoma Nwogwugwu,,NGA,en,Lagos,@ijeomanwogwugwu,not_sure,,Arise News,journalist,Focuses on international affairs
Samson Folarin,,NGA,en,Lagos,@samsonfolarin,not_sure,,The Punch,journalist,Covers environmental and social issues
Oluwatobi Oladipo,,NGA,en,Lagos,@tobioladipo,not_sure,,The Nation,journalist,Writes on climate and energy
Chika Oduah,,NGA,en,Lagos,@chikaoduah,@chikaoduah,,Freelance,journalist,Covers conflict and environmental stories
Oluwatosin Adesile,,NGA,en,Lagos,@tosinadesile,not_sure,,The Guardian,journalist,Focus on biodiversity and conservation
Oluwaseun Olagunju,,NGA,en,Lagos,@seunolagunju,not_sure,,Channels TV,journalist,Reports on climate and peace initiatives
Chijioke Ohuocha,,NGA,en,Lagos,@chijiokeohuocha,not_sure,,Reuters,journalist,Covers economic and environmental issues
Oluwaseun Akinola,,NGA,en,Lagos,@seunakinola,not_sure,,The Guardian,journalist,Writes on climate change and sustainability
Oluwatosin Adedayo,,NGA,en,Lagos,@tosinadedayo,not_sure,,The Punch,journalist,Focuses on environmental policies
Chinelo Onwualu,,NGA,en,Lagos,@chineloonwualu,not_sure,,Freelance,journalist,Covers climate justice and policy
