name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Emirates Nature-WWF,,ARE,en,Dubai,@ews_wwf,@ews_wwf,,,influencer,Leading environmental NGO in UAE
Dubai Cares,,ARE,en,Dubai,@dubaicares,not_sure,,,influencer,Focus on education and sustainability
Greenpeace MENA,,ARE,en,Dubai,@greenpeacemen,not_sure,,,influencer,Regional office for environmental activism
Dr. Jane Goodall,,ARE,en,Dubai,@janegoodallinst,@JaneGoodallInst,,Jane Goodall Institute,influencer,Renowned primatologist and conservationist
Sustainable City Dubai,,ARE,en,Dubai,@thesustainablecity,not_sure,,,influencer,Promotes sustainable living in Dubai
Dubai Municipality,,ARE,en,Dubai,@dubaimunicipality,@DMunicipality,,,influencer,Government body for city planning and environment
Arab Youth Climate Movement,,ARE,en,Dubai,@aycmmena,not_sure,,,influencer,Youth-led climate action group
Dr. Thani Al Zeyoudi,,ARE,en,Dubai,@thani_bin_ahmed,@ThaniAlZeyoudi,,UAE Minister of Climate Change,influencer,UAE Minister of Climate Change and Environment
EcoMENA,,ARE,en,Dubai,@ecomena,@EcoMENA,,,influencer,Platform for environmental awareness in MENA
Goumbook,,ARE,en,Dubai,@goumbook,not_sure,,,influencer,Sustainability social enterprise in UAE
Khaled Al Huraimel,,ARE,en,Dubai,@khaled_alhuraimel,not_sure,,Bee'ah,influencer,CEO of environmental management company Bee'ah
Dubai Desert Conservation Reserve,,ARE,en,Dubai,@ddcr_reserve,not_sure,,,influencer,Conserves Dubai's desert ecosystem
Dr. Nawal Al Hosany,,ARE,en,Dubai,@nawalalhosany,not_sure,,UAE Permanent Representative to IRENA,influencer,Advocate for renewable energy
Masdar,,ARE,en,Dubai,@masdar,@Masdar,,,influencer,Leader in renewable energy and sustainability
Dubai Future Foundation,,ARE,en,Dubai,@dubai_future,@DubaiFuture,,,influencer,Focuses on innovation and sustainability
Emirates Environmental Group,,ARE,en,Dubai,@eegemirates,not_sure,,,influencer,Promotes environmental awareness in UAE
Dr. Aisha Al Marzooqi,,ARE,en,Dubai,@aisha_almarzooqi,not_sure,,Environmental Scientist,influencer,Environmental scientist and advocate
Clean Energy Business Council,,ARE,en,Dubai,@cebcmena,not_sure,,,influencer,Promotes clean energy in MENA
Dubai Carbon Centre of Excellence,,ARE,en,Dubai,@dubaicarbon,not_sure,,,influencer,Focuses on carbon reduction initiatives
Dr. Habiba Al Marashi,,ARE,en,Dubai,@habiba_almarashi,not_sure,,Emirates Environmental Group,influencer,Environmental activist and leader
Arabian Wildlife Center,,ARE,en,Dubai,@arabianwildlifecenter,not_sure,,,influencer,Conserves Arabian wildlife species
Dubai Sustainable Tourism,,ARE,en,Dubai,@dubaisustainabletourism,not_sure,,,influencer,Promotes sustainable tourism practices
Dr. Rashid Alleem,,ARE,en,Dubai,@rashidalleem,not_sure,,Sharjah Electricity & Water Authority,influencer,Promotes sustainable energy solutions
The Green Sheikh,,ARE,en,Dubai,@greensheikh,not_sure,,,influencer,Advocate for environmental sustainability
Dubai Astronomy Group,,ARE,en,Dubai,@dubaiastronomy,not_sure,,,influencer,Promotes astronomy and environmental awareness
