name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Pravit Rojanaphruk,,THA,th,Bangkok,@pravitR,@PravitR,,Khaosod English,journalist,Covers politics and human rights
Nanchanok Wongsamuth,,THA,th,Bangkok,@nanchanokw,not_sure,,Bangkok Post,journalist,Focuses on environmental issues
Supalak Ganjanakhundee,,THA,th,Bangkok,@supalakg,not_sure,,The Nation,journalist,Reports on ASEAN and geopolitics
Anchalee Kongrut,,THA,th,Bangkok,@anchaleek,not_sure,,Bangkok Post,journalist,Writes about urban development and environment
Tulsathit Taptim,,THA,th,Bangkok,@tulsathit,not_sure,,The Nation,journalist,Covers political and social issues
Kavi Chongkittavorn,,THA,th,Bangkok,@kavi_chong,not_sure,,Bangkok Post,journalist,Expert on international relations
Prachatai English,,THA,th,Bangkok,@prachatai_en,@prachatai_en,,Prachatai,journalist,Independent news on social justice
Saksith Saiyasombut,,THA,th,Bangkok,@SaksithCNA,@Saksith,,Channel NewsAsia,journalist,Covers Thai politics and society
Wasamon Audjarint,,THA,th,Bangkok,@wasamon_a,not_sure,,Bangkok Post,journalist,Focuses on climate change
Teeranai Charuvastra,,THA,th,Bangkok,@teeranaic,not_sure,,Khaosod English,journalist,Reports on human rights and politics
Yvonne Bohwongprasert,,THA,th,Bangkok,@yvonneboh,not_sure,,Bangkok Post,journalist,Writes on cultural and environmental topics
Nattaya Chetchotiros,,THA,th,Bangkok,@nattayac,not_sure,,Bangkok Post,journalist,Senior editor with focus on politics
Panu Wongcha-um,,THA,th,Bangkok,@panuw,not_sure,,Reuters,journalist,Covers Thai politics and economy
Chalida Ekvitthayavechnukul,,THA,th,Bangkok,@chalida_e,not_sure,,Associated Press,journalist,Reports on Southeast Asian affairs
Nopporn Wong-Anan,,THA,th,Bangkok,@noppornw,not_sure,,Reuters,journalist,Focuses on Thai politics and society
Pailin Wedel,,THA,th,Bangkok,@pailinwedel,not_sure,,Independent,journalist,Documentary filmmaker on social issues
Chaiyot Yongcharoenchai,,THA,th,Bangkok,@chaiyoty,not_sure,,Bangkok Post,journalist,Investigative journalist on crime and environment
Aekarach Sattaburuth,,THA,th,Bangkok,@aekarach_s,not_sure,,Bangkok Post,journalist,Covers political news
Nopparat Chaichalearmmongkol,,THA,th,Bangkok,@nopparatc,not_sure,,Bloomberg,journalist,Reports on Thai economy and politics
Sasiwan Mokkhasen,,THA,th,Bangkok,@sasiwanm,not_sure,,Khaosod English,journalist,Focuses on social issues and environment
Chutima Sidasathian,,THA,th,Bangkok,@chutimas,not_sure,,Phuketwan,journalist,Reports on human rights and environment
Nina Suebsukcharoen,,THA,th,Bangkok,@ninasuebsuk,not_sure,,Independent,journalist,Covers culture and environment
Patpicha Tanakasempipat,,THA,th,Bangkok,@patpichat,not_sure,,Reuters,journalist,Focuses on Thai politics and society
Kornchanok Raksaseri,,THA,th,Bangkok,@kornchanokr,not_sure,,Bangkok Post,journalist,Writes on politics and social issues
