name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Leah Thomas,,ANG,en,Los,greengirlleah,@GreenGirlLeah,,Intersectional Environmentalist,influencer,Focuses on environmental justice and climate activism.
Rob Greenfield,,ANG,en,Los,robgreenfield,@RobJGreenfield,,,influencer,Sustainability advocate and environmental activist.
Lauren Singer,,ANG,en,Los,trashisfortossers,@Lauren_Singer,,,influencer,Zero waste lifestyle influencer and environmentalist.
Marina Shifrin,,ANG,en,Los,marinashifrin,not_sure,,,influencer,Environmental and social issues content creator.
Elizabeth Teo,,ANG,en,Los,elizabethteo,not_sure,,,influencer,Climate change and sustainability advocate.
Kamea Chayne,,ANG,en,Los,kameachayne,not_sure,,,influencer,Environmental educator and activist.
Sierra Club Angeles Chapter,,ANG,en,Los,sierraclub,@SierraClubLA,,Sierra Club Angeles Chapter,influencer,Local chapter of national environmental organization.
Zero Waste Collective LA,,ANG,en,Los,zerowastecollectivela,not_sure,,Zero Waste Collective LA,influencer,Community focused on zero waste and sustainability.
Earthjustice Los Angeles,,ANG,en,Los,earthjustice,@Earthjustice,,Earthjustice,influencer,Environmental law nonprofit with LA presence.
350.org Los Angeles,,ANG,en,Los,350la,@350,,350.org Los Angeles,influencer,Climate action organization with local chapter.
Greta Thunberg,,ANG,en,Los,gretathunberg,@GretaThunberg,,,influencer,Global climate activist with influence in LA.
Dr. Ayana Elizabeth Johnson,,ANG,en,Los,ayanaeliza,@ayanaeliza,,Urban Ocean Lab,influencer,Marine biologist and climate policy expert.
Xiye Bastida,,ANG,en,Los,xiyebastida,@xiyebastida,,Fridays for Future,influencer,Youth climate activist based in LA.
Autumn Peltier,,ANG,en,Los,autumnpeltier,not_sure,,,influencer,Water protector and Indigenous rights advocate.
Jamie Margolin,,ANG,en,Los,jamieclimate,@Jamie_Margolin,,Zero Hour,influencer,Youth climate activist and organizer.
Climate Reality Project Los Angeles,,ANG,en,Los,climaterealityproject,@ClimateReality,,Climate Reality Project,influencer,Local chapter of global climate advocacy group.
Melati Wijsen,,ANG,en,Los,melatiwijsen,@MelatiWijsen,,Bye Bye Plastic Bags,influencer,Youth environmental activist focusing on plastic pollution.
Dr. Katharine Hayhoe,,ANG,en,Los,katharinehayhoe,@KHayhoe,,Texas Tech University,influencer,Climate scientist and communicator with wide influence.
Leah Namugerwa,,ANG,en,Los,leahnamugerwa,@NamugerwaLeah,,Fridays for Future,influencer,Youth climate activist with global reach.
Sierra Club California,,ANG,en,Los,sierraclubca,@SierraClubCA,,Sierra Club California,influencer,Statewide environmental organization with LA presence.
Los Angeles Peace Network,,ANG,en,Los,lapn_la,not_sure,,Los Angeles Peace Network,influencer,Peace advocacy group in Los Angeles.
Peace Over Violence,,ANG,en,Los,peaceoverviolence,not_sure,,Peace Over Violence,influencer,Organization working to prevent violence and promote peace.
Dr. Vandana Shiva,,ANG,en,Los,drvandanashiva,@drvandanashiva,,,influencer,Environmental activist and author with international influence.
Dr. Jane Goodall,,ANG,en,Los,janegoodallinst,@JaneGoodallInst,,Jane Goodall Institute,influencer,Primatologist and conservationist with global reach.
Los Angeles Audubon Society,,ANG,en,Los,laaudubon,not_sure,,Los Angeles Audubon Society,influencer,Local bird conservation organization.
Heal the Bay,,ANG,en,Los,healthebay,@HealTheBay,,Heal the Bay,influencer,Environmental nonprofit focused on coastal protection.
TreePeople,,ANG,en,Los,treepeople,@TreePeople_org,,TreePeople,influencer,Urban forestry and environmental education organization.
Los Angeles Green New Deal Coalition,,ANG,en,Los,lagndcoalition,not_sure,,LA Green New Deal Coalition,influencer,Coalition advocating for climate and social justice.
Climate Action LA,,ANG,en,Los,climateactionla,not_sure,,Climate Action LA,influencer,Local climate advocacy group.
Los Angeles Environmental Justice Network,,ANG,en,Los,laejn,not_sure,,LA Environmental Justice Network,influencer,Network focused on environmental justice in LA.
Dr. Michael E. Mann,,ANG,en,Los,MichaelEMann,@MichaelEMann,,Penn State University,influencer,Climate scientist and communicator.
Los Angeles Climate Emergency Coalition,,ANG,en,Los,lacecoalition,not_sure,,LA Climate Emergency Coalition,influencer,Coalition focused on climate emergency response.
Los Angeles Youth Climate Strike,,ANG,en,Los,layouthclimatestrike,not_sure,,Youth Climate Strike,influencer,Youth-led climate activism group.
Los Angeles Green Schools Alliance,,ANG,en,Los,lagreenschools,not_sure,,LA Green Schools Alliance,influencer,Promotes sustainability in schools.
Los Angeles Environmental Education Consortium,,ANG,en,Los,laeec,not_sure,,LA Environmental Education Consortium,influencer,Supports environmental education in LA.
Los Angeles Climate Action Network,,ANG,en,Los,laclimatenetwork,not_sure,,LA Climate Action Network,influencer,Network of climate organizations in LA.
Los Angeles Environmental Voters Project,,ANG,en,Los,laevp,not_sure,,LA Environmental Voters Project,influencer,Mobilizes voters on environmental issues.
Los Angeles Green Chamber of Commerce,,ANG,en,Los,lagreenchamber,not_sure,,LA Green Chamber of Commerce,influencer,Supports green businesses in LA.
Los Angeles Climate Reality Leaders,,ANG,en,Los,laclimateleaders,not_sure,,Climate Reality Project,influencer,Local leaders trained by Climate Reality Project.
Los Angeles Environmental Health Coalition,,ANG,en,Los,laehc,not_sure,,LA Environmental Health Coalition,influencer,Focuses on environmental health and justice.
Los Angeles Green Building Council,,ANG,en,Los,lagbc,not_sure,,US Green Building Council,influencer,Promotes sustainable building practices.
Los Angeles Climate Justice Alliance,,ANG,en,Los,laclimjustice,not_sure,,LA Climate Justice Alliance,influencer,Advocates for climate justice in LA.
Los Angeles Environmental Network,,ANG,en,Los,laenvironmentalnetwork,not_sure,,LA Environmental Network,influencer,Network of environmental organizations.
Los Angeles Green Party,,ANG,en,Los,lagreenparty,not_sure,,Green Party of Los Angeles,influencer,Political party focused on environmental issues.
Los Angeles Climate Action Team,,ANG,en,Los,laclimateteam,not_sure,,LA Climate Action Team,influencer,Team focused on local climate initiatives.
Los Angeles Environmental Justice Alliance,,ANG,en,Los,laejalliance,not_sure,,LA Environmental Justice Alliance,influencer,Alliance promoting environmental justice.
Los Angeles Green Energy Coalition,,ANG,en,Los,lagreenenergy,not_sure,,LA Green Energy Coalition,influencer,Coalition promoting renewable energy.
Los Angeles Climate Resilience Network,,ANG,en,Los,laclimateresilience,not_sure,,LA Climate Resilience Network,influencer,Network focused on climate resilience.
Los Angeles Environmental Policy Center,,ANG,en,Los,laepc,not_sure,,LA Environmental Policy Center,influencer,Focuses on environmental policy research.
Los Angeles Green Transportation Alliance,,ANG,en,Los,lagreentransport,not_sure,,LA Green Transportation Alliance,influencer,Promotes sustainable transportation.
Los Angeles Environmental Arts Collective,,ANG,en,Los,laenvironmentalarts,not_sure,,LA Environmental Arts Collective,influencer,Uses arts to promote environmental awareness.
Los Angeles Green Youth Alliance,,ANG,en,Los,lagreenyouth,not_sure,,LA Green Youth Alliance,influencer,Youth group focused on environmental activism.
Los Angeles Environmental Justice Youth Council,,ANG,en,Los,laejyc,not_sure,,LA Environmental Justice Youth Council,influencer,Youth council focused on environmental justice.
Los Angeles Green Business Network,,ANG,en,Los,lagreenbusiness,not_sure,,LA Green Business Network,influencer,Network of environmentally responsible businesses.
Los Angeles Climate Action Volunteers,,ANG,en,Los,laclimavolunteers,not_sure,,LA Climate Action Volunteers,influencer,Volunteer group supporting climate initiatives.
Los Angeles Environmental Justice Coalition,,ANG,en,Los,laejcoalition,not_sure,,LA Environmental Justice Coalition,influencer,Coalition promoting environmental justice.
Los Angeles Green Innovation Hub,,ANG,en,Los,lagreeninnovation,not_sure,,LA Green Innovation Hub,influencer,Supports green technology and innovation.
Los Angeles Climate Policy Forum,,ANG,en,Los,laclimapolicy,not_sure,,LA Climate Policy Forum,influencer,Forum for climate policy discussion.
Los Angeles Environmental Justice Leadership Council,,ANG,en,Los,laejlc,not_sure,,LA Environmental Justice Leadership Council,influencer,Leadership council for environmental justice.
Los Angeles Green Energy Advocates,,ANG,en,Los,lagreenenergyadvocates,not_sure,,LA Green Energy Advocates,influencer,Advocates for renewable energy adoption.
Jay Shetty,,ANG,en,Los,jayshetty,@JayShetty,,,influencer,"Focus on peace, mindfulness, and social issues."
