name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Cyril Dion,,FRA,fr,Paris,@cyrildion,@cyrildion,,,influencer,Environmental activist and filmmaker
Camille Etienne,,FRA,fr,Paris,@graine_de_possible,@CamilleEtienne_,,,influencer,Climate activist and speaker
Hugo Clément,,FRA,fr,Paris,@hugoclementk,@hugoclement,,,influencer,Journalist focused on environmental issues
Marie Lopez,,FRA,fr,Paris,@enjoyphoenix,@enjoyphoenix,,,influencer,Lifestyle influencer with eco-friendly focus
Julien Vidal,,FRA,fr,Paris,@julienvidal_cestbon,@JulienVidal_,,,influencer,Author and activist for sustainable living
Alice Tumler,,FRA,fr,Paris,@alicetumler,not_sure,,,influencer,TV host and environmental advocate
Yann Arthus-Bertrand,,FRA,fr,Paris,@yannarthusbertrand,@Yann_A_B,,,influencer,Renowned photographer and environmentalist
Claire Nouvian,,FRA,fr,Paris,@claire_nouvian,not_sure,,,influencer,"Founder of Bloom, ocean conservation NGO"
Nicolas Hulot,,FRA,fr,Paris,@nicolashulot,@N_Hulot,,,influencer,"Former Minister of Ecology, environmental advocate"
Maud Fontenoy,,FRA,fr,Paris,@maudfontenoy,not_sure,,,influencer,Sailor and ocean conservationist
Fanny Agostini,,FRA,fr,Paris,@fannyagostini,not_sure,,,influencer,Journalist and environmental activist
Thomas Wiesel,,FRA,fr,Paris,@thomaswieselcomedy,not_sure,,,influencer,Comedian with focus on social issues
Laetitia Birbes,,FRA,fr,Paris,@lecorpslamaisonlesprit,not_sure,,,influencer,Eco-friendly lifestyle influencer
Baptiste Lorber,,FRA,fr,Paris,@baptistel,not_sure,,,influencer,Content creator with environmental focus
Léna Situations,,FRA,fr,Paris,@lenasituations,@lenasituations,,,influencer,Lifestyle influencer with eco-conscious content
Max Bird,,FRA,fr,Paris,@maxbirdofficiel,@MaxBirdOfficiel,,,influencer,Science communicator and environmental advocate
Lucie Lucas,,FRA,fr,Paris,@lucie_lucas_comedienne,not_sure,,,influencer,Actress and environmental activist
Guillaume Meurice,,FRA,fr,Paris,@guillaumemeurice,not_sure,,,influencer,Comedian and political commentator
Sophie Jovillard,,FRA,fr,Paris,@sophiejovillard,not_sure,,,influencer,TV presenter and travel enthusiast
Antoine de Maximy,,FRA,fr,Paris,@antoinedemaximy,not_sure,,,influencer,Travel show host with environmental focus
Juliette Binoche,,FRA,fr,Paris,@juliettebinoche,not_sure,,,influencer,Actress and environmental advocate
Raphaël Glucksmann,,FRA,fr,Paris,@raphaelglucksmann,@rglucks1,,,influencer,Politician and activist for social issues
Sébastien Bohler,,FRA,fr,Paris,@sebastienbohler,not_sure,,,influencer,Neuroscientist and environmental author
Léa Camilleri,,FRA,fr,Paris,@leacamilleri,not_sure,,,influencer,Content creator focused on sustainability
Benoît Thévenet,,FRA,fr,Paris,@benoitthevenet,not_sure,,,influencer,TV host and health/environment advocate
Pauline Lefèvre,,FRA,fr,Paris,@paulinelefevre,not_sure,,,influencer,Actress and environmental supporter
Vincent Verzat,,FRA,fr,Paris,@vincent_verzat,not_sure,,,influencer,Activist and video creator on social issues
Nolwenn Leroy,,FRA,fr,Paris,@nolwennleroyofficiel,not_sure,,,influencer,Singer and environmental advocate
Frédéric Lopez,,FRA,fr,Paris,@fredericlopez,not_sure,,,influencer,TV host with focus on human stories
Élodie Gossuin,,FRA,fr,Paris,@elodiegossuin,not_sure,,,influencer,TV host and environmental supporter
Sophie Marceau,,FRA,fr,Paris,@sophiemarceau,not_sure,,,influencer,Actress and environmental advocate
Jean-Michel Jarre,,FRA,fr,Paris,@jeanmicheljarre,@jeanmicheljarre,,,influencer,Musician and environmental supporter
Marion Cotillard,,FRA,fr,Paris,@marioncotillard,not_sure,,,influencer,Actress and environmental activist
Louise Bourgoin,,FRA,fr,Paris,@louisebourgoin,not_sure,,,influencer,Actress and environmental supporter
Philippe Starck,,FRA,fr,Paris,@starck,not_sure,,,influencer,Designer with eco-friendly focus
Melanie Laurent,,FRA,fr,Paris,@melanielaurentofficial,not_sure,,,influencer,Actress and environmental advocate
Orelsan,,FRA,fr,Paris,@orelsan,@Orel_san,,,influencer,Rapper with social issue focus
Soko,,FRA,fr,Paris,@sokothecat,not_sure,,,influencer,Singer and environmental advocate
Aïssa Maïga,,FRA,fr,Paris,@aissamaiga,not_sure,,,influencer,Actress and environmental activist
Vincent Lindon,,FRA,fr,Paris,@vincentlindon,not_sure,,,influencer,Actor and social issue advocate
Audrey Tautou,,FRA,fr,Paris,@audreytautou.officiel,not_sure,,,influencer,Actress and environmental supporter
Gad Elmaleh,,FRA,fr,Paris,@gadelmaleh,@gadelmaleh,,,influencer,Comedian with social issue focus
Romain Duris,,FRA,fr,Paris,@romainduris,not_sure,,,influencer,Actor and environmental supporter
Isabelle Huppert,,FRA,fr,Paris,@isabelle.huppert,not_sure,,,influencer,Actress and environmental advocate
Stéphane Bern,,FRA,fr,Paris,@stephane.bern.officiel,not_sure,,,influencer,TV host and heritage conservationist
Charlotte Gainsbourg,,FRA,fr,Paris,@charlottegainsbourg,not_sure,,,influencer,Actress and environmental advocate
Vincent Cassel,,FRA,fr,Paris,@vincentcassel,not_sure,,,influencer,Actor and environmental supporter
Eva Green,,FRA,fr,Paris,@evagreenweb,not_sure,,,influencer,Actress and environmental advocate
Omar Sy,,FRA,fr,Paris,@omarsyofficial,@OmarSy,,,influencer,Actor with social issue focus
Bérénice Bejo,,FRA,fr,Paris,@berenicebejo,not_sure,,,influencer,Actress and environmental supporter
Jean Dujardin,,FRA,fr,Paris,@jeandujardin,not_sure,,,influencer,Actor and environmental supporter
Léa Seydoux,,FRA,fr,Paris,@leaseydoux_genuine,not_sure,,,influencer,Actress and environmental advocate
Gaspard Ulliel,,FRA,fr,Paris,@gaspard_ulliel,not_sure,,,influencer,Actor and environmental supporter
Cécile de France,,FRA,fr,Paris,@ceciledefrance,not_sure,,,influencer,Actress and environmental advocate
François Cluzet,,FRA,fr,Paris,@francoiscluzet,not_sure,,,influencer,Actor and environmental supporter
Sandrine Kiberlain,,FRA,fr,Paris,@sandrine.kiberlain,not_sure,,,influencer,Actress and environmental advocate
Guillaume Canet,,FRA,fr,Paris,@guillaumecanetofficiel,not_sure,,,influencer,Actor and environmental supporter
Karin Viard,,FRA,fr,Paris,@karinviard,not_sure,,,influencer,Actress and environmental advocate
Mathieu Kassovitz,,FRA,fr,Paris,@mathieukassovitz,not_sure,,,influencer,Actor and director with social focus
Audrey Fleurot,,FRA,fr,Paris,@audrey_fleurot_,not_sure,,,influencer,Actress and environmental supporter
Vincent Elbaz,,FRA,fr,Paris,@vincentelbaz,not_sure,,,influencer,Actor and environmental supporter
Marina Foïs,,FRA,fr,Paris,@marinafois,not_sure,,,influencer,Actress and environmental advocate
Charlotte Le Bon,,FRA,fr,Paris,@lebonlebon,not_sure,,,influencer,Actress and environmental supporter
Nicolas Bedos,,FRA,fr,Paris,@nicolasbedosofficiel,not_sure,,,influencer,Director and environmental supporter
Alice Taglioni,,FRA,fr,Paris,@alicetaglioni_officiel,not_sure,,,influencer,Actress and environmental advocate
Pierre Niney,,FRA,fr,Paris,@pierreniney,not_sure,,,influencer,Actor and environmental supporter
Anaïs Demoustier,,FRA,fr,Paris,@anaisdemoustier,not_sure,,,influencer,Actress and environmental advocate
Pio Marmaï,,FRA,fr,Paris,@piomarmai,not_sure,,,influencer,Actor and environmental supporter
Adèle Haenel,,FRA,fr,Paris,@adelehaenel,not_sure,,,influencer,Actress and environmental advocate
Louis Garrel,,FRA,fr,Paris,@louisgarrel,not_sure,,,influencer,Actor and environmental supporter
Ludivine Sagnier,,FRA,fr,Paris,@ludivinesagnier,not_sure,,,influencer,Actress and environmental advocate
Jean-Paul Rouve,,FRA,fr,Paris,@jeanpaulrouve,not_sure,,,influencer,Actor and environmental supporter
Virginie Efira,,FRA,fr,Paris,@virginie_efira,not_sure,,,influencer,Actress and environmental advocate
Niels Schneider,,FRA,fr,Paris,@nielsschneider,not_sure,,,influencer,Actor and environmental supporter
Sara Forestier,,FRA,fr,Paris,@saraforestier,not_sure,,,influencer,Actress and environmental advocate
Guillaume Gallienne,,FRA,fr,Paris,@guillaumegallienne,not_sure,,,influencer,Actor and environmental supporter
Catherine Deneuve,,FRA,fr,Paris,@catherinedeneuve,not_sure,,,influencer,Actress and environmental advocate
Michel Hazanavicius,,FRA,fr,Paris,@michelhazanavicius,not_sure,,,influencer,Director and environmental supporter
Julie Gayet,,FRA,fr,Paris,@juliegayet,not_sure,,,influencer,Actress and environmental advocate
Fabrice Luchini,,FRA,fr,Paris,@fabriceluchini,not_sure,,,influencer,Actor and environmental supporter
Isabelle Adjani,,FRA,fr,Paris,@isabelleadjani,not_sure,,,influencer,Actress and environmental advocate
Jean Reno,,FRA,fr,Paris,@jeanreno,not_sure,,,influencer,Actor and environmental supporter
Emmanuelle Béart,,FRA,fr,Paris,@emmanuellebeart,not_sure,,,influencer,Actress and environmental advocate
Daniel Auteuil,,FRA,fr,Paris,@danielauteuil,not_sure,,,influencer,Actor and environmental supporter
Josiane Balasko,,FRA,fr,Paris,@josianebalasko,not_sure,,,influencer,Actress and environmental advocate
Michel Blanc,,FRA,fr,Paris,@michelblanc,not_sure,,,influencer,Actor and environmental supporter
Gérard Jugnot,,FRA,fr,Paris,@gerardjugnot,not_sure,,,influencer,Actor and environmental supporter
Jean-Pierre Bacri,,FRA,fr,Paris,@jeanpierrebacri,not_found,,,influencer,Actor and environmental supporter
Agnès Jaoui,,FRA,fr,Paris,@agnesjaoui,not_sure,,,influencer,Actress and environmental advocate
Jean-Pierre Darroussin,,FRA,fr,Paris,@jeanpierredarroussin,not_sure,,,influencer,Actor and environmental supporter
André Dussollier,,FRA,fr,Paris,@andredussollier,not_sure,,,influencer,Actor and environmental supporter
Catherine Frot,,FRA,fr,Paris,@catherinefrot,not_sure,,,influencer,Actress and environmental advocate
Patrick Bruel,,FRA,fr,Paris,@patrickbruel,@PatrickBruelOff,,,influencer,Singer and environmental supporter
Zazie,,FRA,fr,Paris,@zazie.online,not_sure,,,influencer,Singer and environmental advocate
Florence Foresti,,FRA,fr,Paris,@madameforesti,@madameforesti,,,influencer,Comedian with social issue focus
Alexandra Lamy,,FRA,fr,Paris,@alexandralamyofficiel,not_sure,,,influencer,Actress and environmental supporter
François-Xavier Demaison,,FRA,fr,Paris,@francoisxavierdemaison,not_sure,,,influencer,Actor and environmental supporter
Kad Merad,,FRA,fr,Paris,@kadmerad,not_sure,,,influencer,Actor and environmental supporter
Dany Boon,,FRA,fr,Paris,@danyboon,not_sure,,,influencer,Actor and environmental supporter
Gérard Depardieu,,FRA,fr,Paris,@gerarddepardieu,not_sure,,,influencer,Actor and environmental supporter
