name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Leah Thomas,,FRA,en,San,@greengirlleah,@greengirlleah,,Intersectional Environmentalist,influencer,Advocates for inclusive environmentalism
Jamie Margolin,,FRA,en,San,@jamie_s_margolin,@jamie_margolin,,Zero Hour,influencer,Youth climate activist and author
Aditi Mayer,,FRA,en,San,@aditimayer,@aditimayer,,Sustainable fashion advocate,influencer,Focuses on sustainable fashion and climate
Isaias Hernandez,,FRA,en,San,@queerbrownvegan,@queerbrownvegan,,Environmental educator,influencer,Educates on environmental justice
Alexandria Villaseñor,,FRA,en,San,@alexandriav2005,@alexandriav2005,,Earth Uprising,influencer,Youth climate activist and speaker
Kristy Drutman,,FRA,en,San,@browngirl_green,@browngirl_green,,Brown Girl Green,influencer,Hosts podcast on environmental topics
Ayana Elizabeth Johnson,,FRA,en,San,@ayanaeliza,@ayanaeliza,,Marine biologist and policy expert,influencer,Focuses on ocean conservation
Zion Lights,,FRA,en,San,@ziontree,@ziontree,,Climate activist and author,influencer,Advocates for climate action
Varshini Prakash,,FRA,en,San,@varshprakash,@VarshPrakash,,Sunrise Movement,influencer,Co-founder of Sunrise Movement
Bill McKibben,,FRA,en,San,@billmckibben,@billmckibben,,350.org,influencer,Environmentalist and author
Greta Thunberg,,FRA,en,San,@gretathunberg,@GretaThunberg,,Fridays for Future,influencer,Global climate activist
Xiuhtezcatl Martinez,,FRA,en,San,@xiuhtezcatl,@xiuhtezcatl,,Earth Guardians,influencer,Youth leader and environmental activist
Nina Gualinga,,FRA,en,San,@ninagualinga,not_sure,,Indigenous rights activist,influencer,Advocates for indigenous rights and climate
Autumn Peltier,,FRA,en,San,@autumn.peltier,not_sure,,Water rights advocate,influencer,Focuses on water protection
Severn Cullis-Suzuki,,FRA,en,San,@severncullissuzuki,not_sure,,Environmental activist and speaker,influencer,Advocates for sustainable development
Naomi Klein,,FRA,en,San,@naomiaklein,@NaomiAKlein,,Author and activist,influencer,Focuses on climate change and capitalism
Paul Hawken,,FRA,en,San,@paulhawken,not_sure,,Environmentalist and author,influencer,Author of 'Drawdown' on climate solutions
Katharine Hayhoe,,FRA,en,San,@katharinehayhoe,@KHayhoe,,Climate scientist and communicator,influencer,Focuses on climate science communication
Dr. Jane Goodall,,FRA,en,San,@janegoodallinst,@JaneGoodallInst,,Jane Goodall Institute,influencer,Primatologist and conservationist
Dr. Vandana Shiva,,FRA,en,San,@drvandanashiva,@drvandanashiva,,Environmental activist and author,influencer,Advocates for biodiversity and sustainability
Dr. Sylvia Earle,,FRA,en,San,@sylvia.earle,not_sure,,Oceanographer and explorer,influencer,Focuses on ocean conservation
Dr. David Suzuki,,FRA,en,San,@davidsuzukifdn,@DavidSuzukiFDN,,David Suzuki Foundation,influencer,Environmental activist and broadcaster
Sophia Li,,FRA,en,San,@sophfei,@sophfei,,Climate storyteller,influencer,Communicates climate stories
Dr. Katharine Wilkinson,,FRA,en,San,@drkwilkinson,not_sure,,Climate strategist,influencer,Co-founder of The All We Can Save Project
Dr. Leah Stokes,,FRA,en,San,@leahstokes,@leahstokes,,Climate policy expert,influencer,Focus on energy and climate policy
Naomi Klein,,FRA,en,San,@naomiklein,@NaomiAKlein,,Author and activist,influencer,Focus on climate and capitalism
Yves Béhar,,FRA,en,San,@yvesbehar,@yvesbehar,,Fuseproject,influencer,Designer focusing on sustainable innovation
David Wallace-Wells,,FRA,en,San,@dwallacewells,@dwallacewells,,Journalist and author,influencer,Focus on climate change
Dr. Jonathan Foley,,FRA,en,San,@globalecoguy,@GlobalEcoGuy,,Project Drawdown,influencer,Focus on climate solutions
Dr. Kate Marvel,,FRA,en,San,@drkatemarvel,not_sure,,Climate scientist,influencer,Focus on climate modeling
Dr. Michael Mann,,FRA,en,San,@michaelmann,@MichaelEMann,,Climate scientist,influencer,Focus on climate change and policy
Dr. Gavin Schmidt,,FRA,en,San,@climateofgavin,@ClimateOfGavin,,NASA climate scientist,influencer,Focus on climate modeling
Dr. James Hansen,,FRA,en,San,@drjameshansen,not_sure,,Climate scientist,influencer,Focus on climate change advocacy
Dr. Peter Kalmus,,FRA,en,San,@climatehuman,@ClimateHuman,,Climate scientist,influencer,Focus on climate action
Dr. Naomi Oreskes,,FRA,en,San,@naomioreskes,not_sure,,Historian of science,influencer,Focus on climate change denial
Dr. Michael E. Mann,,FRA,en,San,@michaelemann,@MichaelEMann,,Climate scientist,influencer,Focus on climate change and policy
Dr. Andrew Dessler,,FRA,en,San,@AndrewDessler,@AndrewDessler,,Climate scientist,influencer,Focus on climate policy
Dr. Jennifer Francis,,FRA,en,San,@jenniferfrancis,not_sure,,Climate scientist,influencer,Focus on Arctic climate change
Dr. Kevin Anderson,,FRA,en,San,@kevinanderson,not_sure,,Climate scientist,influencer,Focus on carbon budgets
Dr. Stefan Rahmstorf,,FRA,en,San,@rahmstorf,@rahmstorf,,Climate scientist,influencer,Focus on sea level rise
Dr. Eric Holthaus,,FRA,en,San,@ericholthaus,@EricHolthaus,,Meteorologist and author,influencer,Focus on climate change communication
Dr. Jason Box,,FRA,en,San,@climate_ice,not_sure,,Climate scientist,influencer,Focus on Greenland ice sheet
Dr. Richard Alley,,FRA,en,San,@richardalley,not_sure,,Climate scientist,influencer,Focus on ice sheets and climate
Dr. James Balog,,FRA,en,San,@jamesbalog,not_sure,,Photographer and climate activist,influencer,Focus on documenting climate change
Dr. Heidi Cullen,,FRA,en,San,@heidicullen,not_sure,,Climate scientist,influencer,Focus on climate communication
Dr. Ben Santer,,FRA,en,San,@bensanter,not_sure,,Climate scientist,influencer,Focus on climate change detection
