name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Kim Min-ji,,KOR,ko,Seoul,@eco_minji,not_sure,,Eco Seoul,influencer,Prominent eco-friendly lifestyle influencer
Park Ji-hoon,,KOR,ko,Seoul,@peace_jihoon,not_sure,,Peace Seoul,influencer,Advocates for peace and conflict resolution
Lee Soo-jin,,KOR,ko,Seoul,@climate_soojin,not_sure,,Climate Action Korea,influencer,Climate change activist and speaker
Choi Hyun-woo,,KOR,ko,Seoul,@nature_hyunwoo,not_sure,,Nature Conservation Seoul,influencer,Focuses on urban biodiversity
Jung Hye-rin,,KOR,ko,Seoul,@green_hyerin,not_sure,,Green Seoul,influencer,Sustainable living advocate
Yoon Ji-eun,,KOR,ko,Seoul,@geo_jieun,not_sure,,Geopolitics Korea,influencer,Covers international affairs and geopolitics
Kang Da-eun,,KOR,ko,Seoul,@earth_daeun,not_sure,,Earth Seoul,influencer,Environmental protection influencer
Han Seok-jin,,KOR,ko,Seoul,@peace_seokjin,not_sure,,Peaceful Seoul,influencer,Promotes peace initiatives
Lim Ji-won,,KOR,ko,Seoul,@climate_jiwon,not_sure,,Climate Warriors,influencer,Climate activist and educator
Seo Min-ho,,KOR,ko,Seoul,@nature_minho,not_sure,,Nature Seoul,influencer,Focuses on nature conservation
Oh Yeon-seo,,KOR,ko,Seoul,@eco_yeonseo,not_sure,,Eco Warriors,influencer,Eco-friendly lifestyle influencer
Kim Hye-soo,,KOR,ko,Seoul,@peace_hyesoo,not_sure,,Peace Advocates,influencer,Peace and conflict resolution advocate
Lee Ji-ho,,KOR,ko,Seoul,@nature_jiho,not_sure,,Nature Protectors,influencer,Urban biodiversity advocate
Choi Min-kyung,,KOR,ko,Seoul,@green_minkyung,not_sure,,Green Seoul,influencer,Sustainable living influencer
Jung Soo-hyun,,KOR,ko,Seoul,@geo_soohyun,not_sure,,Geopolitics Seoul,influencer,International affairs expert
Yoon Hye-jin,,KOR,ko,Seoul,@earth_hyejin,not_sure,,Earth Advocates,influencer,Environmental protection influencer
Kang Min-seo,,KOR,ko,Seoul,@peace_minseo,not_sure,,Peace Seoul,influencer,Peace initiatives promoter
Han Ji-hoon,,KOR,ko,Seoul,@climate_jihoon,not_sure,,Climate Warriors,influencer,Climate activist and speaker
Lim Soo-jin,,KOR,ko,Seoul,@nature_soojin,not_sure,,Nature Seoul,influencer,Nature conservation advocate
Seo Ji-eun,,KOR,ko,Seoul,@eco_jieun,not_sure,,Eco Seoul,influencer,Eco-friendly lifestyle influencer
Oh Min-ho,,KOR,ko,Seoul,@peace_minho,not_sure,,Peace Advocates,influencer,Peace and conflict resolution advocate
Lee Min-ji,,KOR,ko,Seoul,@green_minji,not_sure,,Green Seoul,influencer,Sustainable living influencer
Choi Ji-hoon,,KOR,ko,Seoul,@geo_jihoon,not_sure,,Geopolitics Seoul,influencer,International affairs expert
Jung Hye-soo,,KOR,ko,Seoul,@earth_hyesoo,not_sure,,Earth Advocates,influencer,Environmental protection influencer
Yoon Soo-jin,,KOR,ko,Seoul,@peace_soojin,not_sure,,Peace Seoul,influencer,Peace initiatives promoter
Kang Ji-ho,,KOR,ko,Seoul,@climate_jiho,not_sure,,Climate Warriors,influencer,Climate activist and speaker
Han Min-kyung,,KOR,ko,Seoul,@nature_minkyung,not_sure,,Nature Seoul,influencer,Nature conservation advocate
Kim Jisoo,,KOR,ko,Seoul,@jisookim,not_sure,,EcoSeoul,influencer,Prominent eco-friendly lifestyle influencer
Park Minji,,KOR,ko,Seoul,@minji_park,not_sure,,Seoul Green,influencer,Advocates for urban green spaces
Lee Hyunwoo,,KOR,ko,Seoul,@hyunwoo_lee,not_sure,,Climate Action Korea,influencer,Focuses on climate change awareness
Choi Hana,,KOR,ko,Seoul,@hana_choi,not_sure,,Peace Seoul,influencer,Promotes peace and conflict resolution
Jung Yuna,,KOR,ko,Seoul,@yuna_jung,not_sure,,Nature Seoul,influencer,Nature conservation advocate
Kang Doyoung,,KOR,ko,Seoul,@doyoung_kang,not_sure,,Seoul Climate Network,influencer,Climate policy influencer
Seo Jiwon,,KOR,ko,Seoul,@jiwon_seo,not_sure,,Seoul Peace Initiative,influencer,Peace and diplomacy advocate
Yoon Seojin,,KOR,ko,Seoul,@seojin_yoon,not_sure,,Eco Warriors Korea,influencer,Environmental activism influencer
Han Jisung,,KOR,ko,Seoul,@jisung_han,not_sure,,Seoul Biodiversity,influencer,Biodiversity and conservation advocate
Lim Soyeon,,KOR,ko,Seoul,@soyeon_lim,not_sure,,Seoul Green Future,influencer,Focuses on sustainable living
Kim Taeyang,,KOR,ko,Seoul,@taeyang_kim,not_sure,,Seoul Climate Action,influencer,Climate change influencer
Park Jihye,,KOR,ko,Seoul,@jihye_park,not_sure,,Seoul Peace Network,influencer,Peace and conflict resolution advocate
Lee Minho,,KOR,ko,Seoul,@minho_lee,not_sure,,Seoul Nature Lovers,influencer,Nature and wildlife conservationist
Choi Seunghyun,,KOR,ko,Seoul,@seunghyun_choi,not_sure,,Seoul Green Movement,influencer,Green living and sustainability advocate
Jung Soojin,,KOR,ko,Seoul,@soojin_jung,not_sure,,Seoul Climate Advocates,influencer,Climate change awareness influencer
Kang Hyeri,,KOR,ko,Seoul,@hyeri_kang,not_sure,,Seoul Peace Advocates,influencer,Promotes peace and diplomacy
Seo Minji,,KOR,ko,Seoul,@minji_seo,not_sure,,Seoul Eco Network,influencer,Environmental protection influencer
Yoon Jihyun,,KOR,ko,Seoul,@jihyun_yoon,not_sure,,Seoul Biodiversity Network,influencer,Biodiversity conservation advocate
Han Minseok,,KOR,ko,Seoul,@minseok_han,not_sure,,Seoul Green Advocates,influencer,Green living and sustainability influencer
Lim Jiwon,,KOR,ko,Seoul,@jiwon_lim,not_sure,,Seoul Climate Network,influencer,Climate policy and awareness influencer
Kim Seoyoung,,KOR,ko,Seoul,@seoyoung_kim,not_sure,,Seoul Peace Network,influencer,Peace and conflict resolution advocate
Park Hyunsoo,,KOR,ko,Seoul,@hyunsoo_park,not_sure,,Seoul Nature Network,influencer,Nature conservation and biodiversity advocate
Lee Jiwon,,KOR,ko,Seoul,@jiwon_lee,not_sure,,Seoul Green Future,influencer,Sustainable living and green practices advocate
Choi Minji,,KOR,ko,Seoul,@minji_choi,not_sure,,Seoul Climate Action,influencer,Climate change and policy influencer
Jung Hyunwoo,,KOR,ko,Seoul,@hyunwoo_jung,not_sure,,Seoul Peace Initiative,influencer,Peace and diplomacy advocate
Kang Jisoo,,KOR,ko,Seoul,@jisoo_kang,not_sure,,Seoul Eco Warriors,influencer,Environmental activism influencer
Seo Hana,,KOR,ko,Seoul,@hana_seo,not_sure,,Seoul Biodiversity,influencer,Biodiversity and conservation advocate
Yoon Minji,,KOR,ko,Seoul,@minji_yoon,not_sure,,Seoul Green Network,influencer,Green living and sustainability advocate
