name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Ece Temelkuran,,TUR,tr,Istanbul,@ecetemelkuran,@ETemelkuran,,Author and Journalist,influencer,Writes on geopolitics and peace
Caner Özyurtlu,,TUR,tr,Istanbul,@canerozyurtlu,not_sure,,Podcast Host,influencer,Hosts popular Turkish podcast
Deniz Alphan,,TUR,tr,Istanbul,@denizalphan,not_sure,,Environmental Activist,influencer,Focus on urban nature conservation
Özlem Gürses,,TUR,tr,Istanbul,@ozlemgurses,@OzlemGurses,,Journalist,influencer,Covers climate and social issues
Barış Özcan,,TUR,tr,Istanbul,@barisozcan,@BarisOzcan,,Content Creator,influencer,Focuses on technology and environment
Pelin Batu,,TUR,tr,Istanbul,@pelinbatu,@PelinBatu,,Historian and Actress,influencer,Advocates for peace and history education
Mert Fırat,,TUR,tr,Istanbul,@mert_firat,@mert_firat,,Actor and Activist,influencer,Co-founder of social impact platform
Zeynep Tufekci,,TUR,tr,Istanbul,@zeynep,@zeynep,,Sociologist and Writer,influencer,Writes on technology and society
Defne Koryürek,,TUR,tr,Istanbul,@defnekoryurek,not_sure,,Slow Food Istanbul,influencer,Promotes sustainable food practices
Gökhan Yücel,,TUR,tr,Istanbul,@gokhanyucel,not_sure,,Digital Strategist,influencer,Focus on digital transformation and society
Melis Alphan,,TUR,tr,Istanbul,@melisalphan,@melisalphan,,Journalist,influencer,Covers environmental and social issues
Uğur Gürses,,TUR,tr,Istanbul,@ugurses,@ugurses,,Economist and Columnist,influencer,Writes on economic impacts of climate
Cem Seymen,,TUR,tr,Istanbul,@cemseymen,@cemseymen,,Journalist,influencer,Focus on sustainability and economy
Serkan Ocak,,TUR,tr,Istanbul,@serkanocak,not_sure,,Environmental Journalist,influencer,Covers climate change and biodiversity
Gaye Su Akyol,,TUR,tr,Istanbul,@gayesuakyol,@gayesuakyol,,Musician and Activist,influencer,Advocates for cultural and environmental issues
Özgür Mumcu,,TUR,tr,Istanbul,@ozgurmumcu,@ozgurmumcu,,Columnist and Author,influencer,Writes on politics and society
Banu Güven,,TUR,tr,Istanbul,@banuguven,@banuguven,,Journalist,influencer,Covers human rights and environment
Erdal Ataş,,TUR,tr,Istanbul,@erdalatas,not_sure,,Environmental Engineer,influencer,Focus on urban sustainability
Ece Üner,,TUR,tr,Istanbul,@eceuner,not_sure,,News Anchor,influencer,Covers climate and social issues
İlber Ortaylı,,TUR,tr,Istanbul,@ilberortayli,@ilberortayli,,Historian,influencer,Discusses history and geopolitics
Ceylan Ertem,,TUR,tr,Istanbul,@ceylanertem,@ceylanertem,,Musician,influencer,Advocates for peace and cultural heritage
Evrim Kuran,,TUR,tr,Istanbul,@evrimkuran,@evrimkuran,,Researcher and Author,influencer,Focus on generational studies and society
Özge Özder,,TUR,tr,Istanbul,@ozgeozder,not_sure,,Actress and Activist,influencer,Advocates for animal rights and environment
Mehmet Ali Alabora,,TUR,tr,Istanbul,@mehmetsalabora,not_sure,,Actor and Director,influencer,Focus on social issues and peace
Gökçe Bahadır,,TUR,tr,Istanbul,@gokce.bahadir,not_sure,,Actress,influencer,Advocates for environmental awareness
Burcu Esmersoy,,TUR,tr,Istanbul,@burcuesmersoy,@burcuesmersoy,,TV Presenter,influencer,Promotes sustainable living
Yekta Kopan,,TUR,tr,Istanbul,@yektakopan,@yektakopan,,Writer and Presenter,influencer,Focus on literature and social issues
Beyza Kural,,TUR,tr,Istanbul,@beyzakural,not_sure,,Journalist,influencer,Covers environmental and social justice
Seda Akgül,,TUR,tr,Istanbul,@sedaakgul,not_sure,,TV Host,influencer,Focus on health and environment
Tuna Kiremitçi,,TUR,tr,Istanbul,@tunakiremitci,@tunakiremitci,,Author and Musician,influencer,Writes on social and cultural issues
Ceyda Düvenci,,TUR,tr,Istanbul,@ceyda.duvenci,not_sure,,Actress,influencer,Advocates for children's rights and environment
Metin Hara,,TUR,tr,Istanbul,@metinhara,not_sure,,Author and Speaker,influencer,Focus on personal development and peace
Gülse Birsel,,TUR,tr,Istanbul,@gulsebirsel,@gulsebirsel,,Writer and Actress,influencer,Writes on social issues and culture
Ece Vahapoğlu,,TUR,tr,Istanbul,@ecevahapoglu,not_sure,,Author and Presenter,influencer,Focus on wellness and environment
Murat Daltaban,,TUR,tr,Istanbul,@muratdaltaban,not_sure,,Actor and Director,influencer,Focus on theatre and social issues
Sıla Gençoğlu,,TUR,tr,Istanbul,@silagencoglu,@silagencoglu,,Musician,influencer,Advocates for women's rights and peace
Büşra Develi,,TUR,tr,Istanbul,@busradeveli,not_sure,,Actress,influencer,Focus on youth and environment
Tarkan Tevetoglu,,TUR,tr,Istanbul,@tarkan,@tarkan,,Musician,influencer,Advocates for environmental protection
Cem Yılmaz,,TUR,tr,Istanbul,@cmylmz,@CMYLMZ,,Comedian and Actor,influencer,Focus on social issues and culture
Gülben Ergen,,TUR,tr,Istanbul,@gulbenergen,@gulbenergen,,Singer and Actress,influencer,Advocates for children's rights and peace
Haluk Levent,,TUR,tr,Istanbul,@halukleventacil,@haluklevent,,Musician and Activist,influencer,Leads charity and social initiatives
Beren Saat,,TUR,tr,Istanbul,@berenn_saat,not_sure,,Actress,influencer,Advocates for women's rights and environment
Kenan Doğulu,,TUR,tr,Istanbul,@kenandogulu,@kenandogulu,,Musician,influencer,Focus on music and social issues
Ezgi Mola,,TUR,tr,Istanbul,@ezgimola,@ezgimola,,Actress,influencer,Advocates for animal rights and environment
Candan Erçetin,,TUR,tr,Istanbul,@candanercetin,not_sure,,Singer,influencer,Focus on music and cultural heritage
Okan Bayülgen,,TUR,tr,Istanbul,@okanbayulgen,not_sure,,TV Host and Actor,influencer,Focus on media and social issues
Beyazıt Öztürk,,TUR,tr,Istanbul,@beyazitozturk,not_sure,,Comedian and Host,influencer,Focus on entertainment and social issues
Cem Adrian,,TUR,tr,Istanbul,@cemadrian,@cemadrian,,Musician,influencer,Focus on music and social issues
Sertab Erener,,TUR,tr,Istanbul,@sertaberener,@sertaberener,,Singer,influencer,Focus on music and environmental awareness
Demet Akalın,,TUR,tr,Istanbul,@demetakalin,@DemetAkalin,,Singer,influencer,Focus on music and social issues
Gökhan Türkmen,,TUR,tr,Istanbul,@gturkmen,not_sure,,Musician,influencer,Focus on music and social issues
Sezen Aksu,,TUR,tr,Istanbul,@sezenaksu,not_sure,,Singer and Songwriter,influencer,Focus on music and cultural heritage
Edis Görgülü,,TUR,tr,Istanbul,@edisgorgulu,@edisgorgulu,,Musician,influencer,Focus on music and youth issues
Zeynep Bastık,,TUR,tr,Istanbul,@zeynepbastik,not_sure,,Singer,influencer,Focus on music and social issues
Mabel Matiz,,TUR,tr,Istanbul,@mabelmatiz,@mabelmatiz,,Musician,influencer,Focus on music and cultural issues
Sıla Türkoğlu,,TUR,tr,Istanbul,@silaturkoglu,not_sure,,Actress,influencer,Focus on youth and social issues
Burak Özçivit,,TUR,tr,Istanbul,@burakozcivit,not_sure,,Actor,influencer,Focus on acting and cultural issues
Fahriye Evcen,,TUR,tr,Istanbul,@evcenf,not_sure,,Actress,influencer,Focus on acting and social issues
Kıvanç Tatlıtuğ,,TUR,tr,Istanbul,@kivanctatlitug,not_sure,,Actor,influencer,Focus on acting and cultural issues
Bergüzar Korel,,TUR,tr,Istanbul,@berguzarkorel,not_sure,,Actress,influencer,Focus on acting and social issues
Engin Altan Düzyatan,,TUR,tr,Istanbul,@enginaltandzytn,not_sure,,Actor,influencer,Focus on acting and cultural issues
Tuba Büyüküstün,,TUR,tr,Istanbul,@tubabustun.official,not_sure,,Actress,influencer,Focus on acting and social issues
Neslihan Atagül,,TUR,tr,Istanbul,@neslihanatagul,not_sure,,Actress,influencer,Focus on acting and cultural issues
Hazal Kaya,,TUR,tr,Istanbul,@hazalkaya,not_sure,,Actress,influencer,Focus on acting and social issues
Çağatay Ulusoy,,TUR,tr,Istanbul,@cagatayulusoy,not_sure,,Actor,influencer,Focus on acting and cultural issues
Hande Erçel,,TUR,tr,Istanbul,@handemiyy,not_sure,,Actress,influencer,Focus on acting and social issues
Kerem Bürsin,,TUR,tr,Istanbul,@thebursin,not_sure,,Actor,influencer,Focus on acting and cultural issues
Demet Özdemir,,TUR,tr,Istanbul,@1demetozdemir,not_sure,,Actress,influencer,Focus on acting and social issues
Can Yaman,,TUR,tr,Istanbul,@canyaman,not_sure,,Actor,influencer,Focus on acting and cultural issues
Serenay Sarıkaya,,TUR,tr,Istanbul,@serenayss,not_sure,,Actress,influencer,Focus on acting and social issues
Burcu Biricik,,TUR,tr,Istanbul,@burcubiricik,not_sure,,Actress,influencer,Focus on acting and cultural issues
Aslı Enver,,TUR,tr,Istanbul,@aslienver,not_sure,,Actress,influencer,Focus on acting and social issues
Elçin Sangu,,TUR,tr,Istanbul,@elcinsangu,not_sure,,Actress,influencer,Focus on acting and cultural issues
Aras Bulut İynemli,,TUR,tr,Istanbul,@iynemliarasbulut,not_sure,,Actor,influencer,Focus on acting and social issues
Büşra Pekin,,TUR,tr,Istanbul,@busrapekinn,not_sure,,Actress,influencer,Focus on acting and cultural issues
Murat Boz,,TUR,tr,Istanbul,@muratboz,@muratboz,,Singer,influencer,Focus on music and social issues
İrem Derici,,TUR,tr,Istanbul,@iremderici,@iremderici,,Singer,influencer,Focus on music and cultural issues
Aleyna Tilki,,TUR,tr,Istanbul,@aleynatilki,@aleynatilki,,Singer,influencer,Focus on music and youth issues
Gülşen Bayraktar,,TUR,tr,Istanbul,@gulsen,@gulsen,,Singer,influencer,Focus on music and social issues
Hadise Açıkgöz,,TUR,tr,Istanbul,@hadise,@hadise,,Singer,influencer,Focus on music and cultural issues
Ece Çiftçi,,TUR,tr,Istanbul,@ececiftci,not_sure,,SosyalBen Vakfı,influencer,Youth empowerment and social responsibility advocate
Gizem Avcı,,TUR,tr,Istanbul,@gizemavci,not_sure,,Greenpeace Mediterranean,influencer,Environmental activist with Greenpeace
Cüneyt Özdemir,,TUR,tr,Istanbul,@cuneytozdemir,@cuneytozdemir,,Journalist,influencer,Covers geopolitics and international affairs
Özgür Gürbüz,,TUR,tr,Istanbul,@ozgurgurbuz,not_sure,,Journalist,influencer,Focuses on climate change and energy
Uğur Batı,,TUR,tr,Istanbul,@ugurbati,not_sure,,Academic and Author,influencer,Writes on social issues and environment
Zeynep Tokuş,,TUR,tr,Istanbul,@zeyneptokus,not_sure,,Actress,influencer,Promotes environmental awareness
Aylin Kotil,,TUR,tr,Istanbul,@aylinkotil,not_sure,,Politician,influencer,Focuses on urban development and environment
Gökhan Özoğuz,,TUR,tr,Istanbul,@gokhanozoguz,@gokhanozoguz,,Musician,influencer,Advocates for peace and social issues
Canan Güllü,,TUR,tr,Istanbul,@canangullu,not_sure,,Women's Rights Activist,influencer,Advocates for gender equality and peace
Mehmet Ali Alabora,,TUR,tr,Istanbul,@mehmetalialabora,not_sure,,Actor and Activist,influencer,Focuses on social justice and peace
Şebnem Ferah,,TUR,tr,Istanbul,@sebnemferah,not_sure,,Musician,influencer,Promotes environmental awareness through music
Tülin Şahin,,TUR,tr,Istanbul,@tulinsahin,not_sure,,Model and TV Host,influencer,Advocates for sustainable fashion
Ahmet Ümit,,TUR,tr,Istanbul,@ahmetumitofficial,@ahmetumit2010,,Author,influencer,Writes on social and political issues
Nazan Öncel,,TUR,tr,Istanbul,@nazan_oncel,not_sure,,Musician,influencer,Promotes peace and social issues through music
Zülfü Livaneli,,TUR,tr,Istanbul,@zulfulivaneli,not_sure,,Musician and Author,influencer,Advocates for peace and human rights
Erdal Beşikçioğlu,,TUR,tr,Istanbul,@erdalbesikcioglu,not_sure,,Actor,influencer,Focuses on social justice and peace
Fazıl Say,,TUR,tr,Istanbul,@fazilsayofficial,not_sure,,Pianist and Composer,influencer,Promotes peace and cultural awareness
Beyza Durmaz,,TUR,tr,Istanbul,@beyzadmrz,not_sure,,Musician,influencer,Focuses on social issues through music
Erdem Yener,,TUR,tr,Istanbul,@erdemyener,not_sure,,Musician and Actor,influencer,Engages in social and environmental topics
Sezen Aksu,,TUR,tr,Istanbul,@sezenaksuofficial,not_sure,,Musician,influencer,Promotes peace and social issues through music
