name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Bolanle Olukanni,,NGA,en,Lagos,@bolanle,@bolanleolukanni,,TV Host & Environmental Advocate,influencer,Advocates for sustainable living in Lagos
Uche Pedro,,NGA,en,Lagos,@bellanaijaonline,@UchePedro,,BellaNaija,influencer,Runs lifestyle platform with eco-friendly focus
Gbenga Sesan,,NGA,en,Lagos,@gbengasesan,@gbengasesan,,Paradigm Initiative,influencer,Digital rights and inclusion advocate
Adesuwa Onyenokwe,,NGA,en,Lagos,@adesuwaonyenokwe,@adesuwaonyenokwe,,TW Magazine,influencer,Promotes women's empowerment and sustainability
Tosin Ajibade,,NGA,en,Lagos,@olorisupergal,@olorisupergal,,Media Entrepreneur,influencer,Covers social issues and environmental topics
Bayo Omoboriowo,,NGA,en,Lagos,@bayoomoboriowo,@bayoomoboriowo,,Photographer,influencer,Focuses on climate change through photography
Laila Johnson-Salami,,NGA,en,Lagos,@lailajohnsonsalami,@LailaSalami,,Arise News,influencer,Covers climate and social issues
Fisayo Fosudo,,NGA,en,Lagos,@fosudo,@fosudo,,Tech YouTuber,influencer,Discusses tech's impact on environment
Chude Jideonwo,,NGA,en,Lagos,@chudeity,@Chude,,Joy Inc.,influencer,Focuses on mental health and social change
Funmi Iyanda,,NGA,en,Lagos,@funmiiyanda,@funmilola,,Public Figure,influencer,Advocates for social justice and environment
Nse Ikpe-Etim,,NGA,en,Lagos,@nseikpeetim,@NseIkpeEtim,,Actress,influencer,Promotes sustainable fashion and lifestyle
Banky Wellington,,NGA,en,Lagos,@bankywellington,@BankyW,,Musician & Politician,influencer,Advocates for social change and environment
Kemi Adetiba,,NGA,en,Lagos,@kemiadetiba,@kemiadetiba,,Filmmaker,influencer,Highlights social issues in films
Toke Makinwa,,NGA,en,Lagos,@tokemakinwa,@tokstarr,,Media Personality,influencer,Covers lifestyle with eco-friendly tips
Tomiwa Aladekomo,,NGA,en,Lagos,@tomiwaaladekomo,@tomiwa,,Big Cabal Media,influencer,Focuses on tech and environment
Adebola Williams,,NGA,en,Lagos,@debolalagos,@DebolaLagos,,RED Media Africa,influencer,Promotes youth engagement in social issues
Latasha Ngwube,,NGA,en,Lagos,@latashalagos,@latashalagos,,Media Personality,influencer,Advocates for body positivity and sustainability
Noble Igwe,,NGA,en,Lagos,@noble_igwe,@Nobsdaslushhkid,,360Nobs,influencer,Covers lifestyle and environmental topics
Arese Ugwu,,NGA,en,Lagos,@smartmoneyarese,@SmartMoneyArese,,Author & Financial Expert,influencer,Focuses on sustainable finance
Simi Esiri,,NGA,en,Lagos,@simiesiri,not_sure,,SCHICK Magazine,influencer,Promotes eco-friendly fashion
