name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Paulina Moreno,,CIT,en,Mexico,@paulinamorenomx,not_sure,,Climate Action Mexico,influencer,Climate activist and speaker
Luis Miguel Estrada,,CIT,en,Mexico,@luismiguelestrada,not_sure,,Green Future MX,influencer,Sustainability advocate and educator
Ana Sofía Rodríguez,,CIT,en,Mexico,@anasofiarodriguez,not_sure,,Eco Warriors Mexico,influencer,Environmental influencer and blogger
Carlos Rivas,,CIT,en,Mexico,@carlosrivas,not_sure,,Nature Protectors MX,influencer,Nature conservation advocate
Mariana López,,CIT,en,Mexico,@marianalopez,not_sure,,Peace Builders Mexico,influencer,Peace and conflict resolution influencer
Jorge Castillo,,CIT,en,Mexico,@jorgecastillo,not_sure,,Climate Voices MX,influencer,Climate change communicator
Valeria Torres,,CIT,en,Mexico,@valeriatorres,not_sure,,Biodiversity Guardians,influencer,Biodiversity and wildlife influencer
Ricardo Sánchez,,CIT,en,Mexico,@ricardosanchez,not_sure,,Eco Innovators,influencer,Eco-friendly technology advocate
Gabriela Martínez,,CIT,en,Mexico,@gabrielamartinez,not_sure,,Sustainable Living MX,influencer,Sustainable living influencer
Fernando Pérez,,CIT,en,Mexico,@fernandoperez,not_sure,,Green City Initiative,influencer,Urban sustainability advocate
Laura Gómez,,CIT,en,Mexico,@lauragomez,not_sure,,Climate Action Network,influencer,Climate policy influencer
Santiago Ruiz,,CIT,en,Mexico,@santiagoruiz,not_sure,,Peace Advocates MX,influencer,Peace and diplomacy influencer
Daniela Fernández,,CIT,en,Mexico,@danielafernandez,not_sure,,Eco Youth Mexico,influencer,Youth environmental activist
Alejandro Morales,,CIT,en,Mexico,@alejandromorales,not_sure,,Green Leaders MX,influencer,Environmental leadership influencer
Claudia Reyes,,CIT,en,Mexico,@claudiareyes,not_sure,,Nature Advocates,influencer,Nature conservation influencer
Miguel Ángel López,,CIT,en,Mexico,@miguelangel_lopez,not_sure,,Eco Warriors MX,influencer,Environmental justice advocate
Patricia Hernández,,CIT,en,Mexico,@patriciahernandez,not_sure,,Climate Change Network,influencer,Climate change policy influencer
Roberto García,,CIT,en,Mexico,@robertogarcia,not_sure,,Peace Builders Mexico,influencer,Peace and conflict resolution influencer
Andrea Torres,,CIT,en,Mexico,@andreatorres,not_sure,,Biodiversity Guardians,influencer,Biodiversity and wildlife influencer
Juan Carlos Mendoza,,CIT,en,Mexico,@juancarlosmendoza,not_sure,,Eco Innovators,influencer,Eco-friendly technology advocate
Sofía Ramírez,,CIT,en,Mexico,@sofiaramirez,not_sure,,Sustainable Living MX,influencer,Sustainable living influencer
Diego Vargas,,CIT,en,Mexico,@diegovargas,not_sure,,Green City Initiative,influencer,Urban sustainability advocate
Isabella Cruz,,CIT,en,Mexico,@isabellacruz,not_sure,,Climate Action Network,influencer,Climate policy influencer
Emilio Navarro,,CIT,en,Mexico,@emilionavarro,not_sure,,Peace Advocates MX,influencer,Peace and diplomacy influencer
Natalia Flores,,CIT,en,Mexico,@nataliaflores,not_sure,,Eco Youth Mexico,influencer,Youth environmental activist
Héctor Morales,,CIT,en,Mexico,@hectormorales,not_sure,,Green Leaders MX,influencer,Environmental leadership influencer
