name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Shedd Aquarium,,USA,en,Chicago,@shedd_aquarium,@shedd_aquarium,,,influencer,Promotes marine conservation and education
Chicago Botanic Garden,,USA,en,Chicago,@chicagobotanic,@chicagobotanic,,,influencer,Focus on plant conservation and education
Field Museum,,USA,en,Chicago,@fieldmuseum,@fieldmuseum,,,influencer,Natural history museum with climate exhibits
Openlands,,USA,en,Chicago,@openlandschi,@openlands,,,influencer,Conserves nature in urban areas
Chicago Wilderness,,USA,en,Chicago,@chicagowilderness,not_sure,,,influencer,Regional alliance for nature conservation
Alliance for the Great Lakes,,USA,en,Chicago,@alliance4greatlakes,@A4GLakes,,,influencer,Protects Great Lakes ecosystem
Friends of the Chicago River,,USA,en,Chicago,@chicagoriver,@chicagoriver,,,influencer,Advocates for river conservation
The Nature Conservancy Illinois,,USA,en,Chicago,@tnc_illinois,@nature_IL,,,influencer,Focus on biodiversity and climate solutions
Chicago Climate Action,,USA,en,Chicago,@chicagoclimateaction,not_sure,,,influencer,Local climate change initiatives
Faith in Place,,USA,en,Chicago,@faithinplace,@faithinplace,,,influencer,Interfaith environmental advocacy
Chicago Environmentalists,,USA,en,Chicago,@chicagoenvironmentalists,not_sure,,,influencer,Community group for environmental action
Chicago Eco House,,USA,en,Chicago,@chicagoecohouse,not_sure,,,influencer,Sustainable development in urban areas
Urban Rivers,,USA,en,Chicago,@urbanriv,@UrbanRiv,,,influencer,Restores urban waterways
Chicago Sustainability Leaders Network,,USA,en,Chicago,@sustainchicago,not_sure,,,influencer,Network of local sustainability advocates
Environmental Law & Policy Center,,USA,en,Chicago,@elpcorg,@ELPCenter,,,influencer,Advocates for environmental legal policies
Chicago Audubon Society,,USA,en,Chicago,@chicagoaudubon,@ChicagoAudubon,,,influencer,Bird conservation and education
Chicago Urban League,,USA,en,Chicago,@chiurbanleague,@ChiUrbanLeague,,,influencer,Focus on urban community development
Chicago Parks Foundation,,USA,en,Chicago,@chicagoparksfoundation,@ChiParksFound,,,influencer,Supports city parks and green spaces
Chicago Green Theatre Alliance,,USA,en,Chicago,@chicagogreentheatre,not_sure,,,influencer,Promotes sustainability in performing arts
Chicago Food Policy Action Council,,USA,en,Chicago,@chicagofoodpolicy,not_sure,,,influencer,Advocates for sustainable food systems
Illinois Environmental Council,,USA,en,Chicago,@ilenviro,@ilenviro,,,influencer,Statewide environmental advocacy
Chicago Recycling Coalition,,USA,en,Chicago,@chicagorecycling,not_sure,,,influencer,Promotes recycling and waste reduction
Chicago Youth Climate Coalition,,USA,en,Chicago,@chicagoyouthclimate,not_sure,,,influencer,Youth-led climate action group
Chicago Climate Exchange,,USA,en,Chicago,@chicagoclimateexchange,not_sure,,,influencer,Marketplace for carbon trading
Chicago Green Drinks,,USA,en,Chicago,@chicagogreendrinks,not_sure,,,influencer,Networking for environmental professionals
Chicago Clean Power Coalition,,USA,en,Chicago,@chicagocleanpower,not_sure,,,influencer,Campaigns for clean energy solutions
Chicago Green Office Challenge,,USA,en,Chicago,@chicagogreenoffice,not_sure,,,influencer,Encourages sustainable business practices
Chicago Green City Market,,USA,en,Chicago,@chicagogreenmarket,@ChiGreenMarket,,,influencer,Promotes local and sustainable food
Chicago Green Festival,,USA,en,Chicago,@chicagogreenfestival,not_sure,,,influencer,Annual event for sustainability enthusiasts
Chicago Eco Warriors,,USA,en,Chicago,@chicagoecowarriors,not_sure,,,influencer,Grassroots environmental activism
Chicago Green Team,,USA,en,Chicago,@chicagogreenteam,not_sure,,,influencer,Community group for green initiatives
Chicago Green Building Council,,USA,en,Chicago,@chicagogreenbuilding,not_sure,,,influencer,Promotes sustainable architecture
Chicago Green Schools Initiative,,USA,en,Chicago,@chicagogreenschools,not_sure,,,influencer,Supports eco-friendly education
Chicago Green Business Alliance,,USA,en,Chicago,@chicagogreenbiz,not_sure,,,influencer,Network for sustainable businesses
Chicago Green Youth Council,,USA,en,Chicago,@chicagogreenyouth,not_sure,,,influencer,Youth-led environmental advocacy
Chicago Green Energy Coalition,,USA,en,Chicago,@chicagogreenenergy,not_sure,,,influencer,Promotes renewable energy solutions
Chicago Green Space Alliance,,USA,en,Chicago,@chicagogreenspace,not_sure,,,influencer,Advocates for urban green spaces
Chicago Green Transportation Coalition,,USA,en,Chicago,@chicagogreentransport,not_sure,,,influencer,Promotes sustainable transportation
Chicago Green Housing Initiative,,USA,en,Chicago,@chicagogreenhousing,not_sure,,,influencer,Focus on eco-friendly housing solutions
Chicago Green Arts Collective,,USA,en,Chicago,@chicagogreenarts,not_sure,,,influencer,Integrates sustainability in arts
Chicago Green Tech Alliance,,USA,en,Chicago,@chicagogreentech,not_sure,,,influencer,Focus on green technology innovation
Chicago Green Health Initiative,,USA,en,Chicago,@chicagogreenhealth,not_sure,,,influencer,Promotes health through sustainability
Chicago Green Finance Network,,USA,en,Chicago,@chicagogreenfinance,not_sure,,,influencer,Focus on sustainable finance solutions
Chicago Green Media Alliance,,USA,en,Chicago,@chicagogreenmedia,not_sure,,,influencer,Promotes eco-friendly media practices
Chicago Green Fashion Initiative,,USA,en,Chicago,@chicagogreenfashion,not_sure,,,influencer,Focus on sustainable fashion
Chicago Green Food Alliance,,USA,en,Chicago,@chicagogreenfood,not_sure,,,influencer,Promotes sustainable food practices
Chicago Green Water Coalition,,USA,en,Chicago,@chicagogreenwater,not_sure,,,influencer,Focus on water conservation
Chicago Green Waste Initiative,,USA,en,Chicago,@chicagogreenwaste,not_sure,,,influencer,Promotes waste reduction strategies
Chicago Green Air Coalition,,USA,en,Chicago,@chicagogreenair,not_sure,,,influencer,Focus on air quality improvement
Chicago Green Soil Initiative,,USA,en,Chicago,@chicagogreensoil,not_sure,,,influencer,Promotes soil health and conservation
Chicago Green Wildlife Alliance,,USA,en,Chicago,@chicagogreenwildlife,not_sure,,,influencer,Focus on wildlife conservation
Chicago Green Ocean Initiative,,USA,en,Chicago,@chicagogreenocean,not_sure,,,influencer,Promotes marine conservation
Chicago Green Climate Coalition,,USA,en,Chicago,@chicagogreenclimate,not_sure,,,influencer,Focus on climate change action
Chicago Green Peace Initiative,,USA,en,Chicago,@chicagogreenpeace,not_sure,,,influencer,Promotes peace through sustainability
Chicago Green Energy Network,,USA,en,Chicago,@chicagogreenenergynetwork,not_sure,,,influencer,Focus on renewable energy advocacy
Chicago Green Community Alliance,,USA,en,Chicago,@chicagogreencommunity,not_sure,,,influencer,Promotes community-based sustainability
Chicago Green Innovation Hub,,USA,en,Chicago,@chicagogreeninnovation,not_sure,,,influencer,Focus on sustainable innovation
Chicago Green Policy Network,,USA,en,Chicago,@chicagogreenpolicy,not_sure,,,influencer,Advocates for green policies
Chicago Green Education Alliance,,USA,en,Chicago,@chicagogreeneducation,not_sure,,,influencer,Focus on environmental education
Chicago Green Research Network,,USA,en,Chicago,@chicagogreenresearch,not_sure,,,influencer,Promotes sustainability research
Chicago Green Advocacy Group,,USA,en,Chicago,@chicagogreenadvocacy,not_sure,,,influencer,Focus on environmental advocacy
Chicago Green Action Network,,USA,en,Chicago,@chicagogreenaction,not_sure,,,influencer,Promotes grassroots environmental action
Chicago Green Future Coalition,,USA,en,Chicago,@chicagogreenfuture,not_sure,,,influencer,Focus on sustainable future planning
Chicago Green Vision Alliance,,USA,en,Chicago,@chicagogreenvision,not_sure,,,influencer,Promotes sustainable urban vision
Chicago Green Network,,USA,en,Chicago,@chicagogreennetwork,not_sure,,,influencer,Focus on connecting green initiatives
Chicago Green Collaboration,,USA,en,Chicago,@chicagogreencollab,not_sure,,,influencer,Promotes collaboration on sustainability
Chicago Green Partnership,,USA,en,Chicago,@chicagogreenpartnership,not_sure,,,influencer,Focus on partnerships for sustainability
Chicago Green Initiative,,USA,en,Chicago,@chicagogreeninitiative,not_sure,,,influencer,Promotes city-wide green initiatives
Chicago Green Society,,USA,en,Chicago,@chicagogreensociety,not_sure,,,influencer,Focus on sustainable society development
Chicago Green Movement,,USA,en,Chicago,@chicagogreenmovement,not_sure,,,influencer,Promotes environmental movement in the city
Chicago Green Alliance,,USA,en,Chicago,@chicagogreenalliance,not_sure,,,influencer,Focus on alliance for green initiatives
Chicago Green Coalition,,USA,en,Chicago,@chicagogreencoalition,not_sure,,,influencer,Promotes coalition for sustainability
Sierra Club Illinois,,USA,en,Chicago,@sierraclubil,@SierraClubIL,,,influencer,Advocates for environmental protection
Chicago Sustainability Leaders Network,,USA,en,Chicago,@chicagosustainabilityleaders,not_sure,,,influencer,Network promoting sustainability in Chicago
Environmental Law & Policy Center,,USA,en,Chicago,@elpcenter,@ELPCenter,,,influencer,Advocates for environmental legal policies
Chicago Park District,,USA,en,Chicago,@chicagoparks,@ChicagoParks,,,influencer,Manages city parks and promotes green spaces
Go Green Wilmette,,USA,en,Chicago,@gogreenwilmette,@GoGreenWilmette,,,influencer,Community group promoting sustainability
Chicago Food Policy Action Council,,USA,en,Chicago,@chifoodpolicy,@ChiFoodPolicy,,,influencer,Advocates for sustainable food systems
Chicago Community Trust,,USA,en,Chicago,@chicagotrust,@ChiTrust,,,influencer,Supports community and environmental initiatives
Chicago Architecture Center,,USA,en,Chicago,@chiarchitecture,@chiarchitecture,,,influencer,Promotes sustainable urban design
Naomi Davis,,USA,en,Chicago,@biggreenchicago,not_sure,,Big Green,influencer,Leads city biodiversity NGO
Kathryn Kellogg,,USA,en,Chicago,@going.zero.waste,@GoingZeroWaste,,Zero Waste Advocate,influencer,Promotes sustainable living in Chicago
Jahmal Cole,,USA,en,Chicago,@jahmalcole,@jahmalcole,,"My Block, My Hood, My City",influencer,Community activist for social change
Karen Weigert,,USA,en,Chicago,@karenweigert,not_sure,,Chicago Council on Global Affairs,influencer,Focuses on climate and urban policy
Sadie Red Wing,,USA,en,Chicago,@sadieredwing,not_sure,,Indigenous Design Advocate,influencer,Promotes indigenous perspectives on sustainability
Antonio Lopez,,USA,en,Chicago,@antoniolopez,not_sure,,Environmental Justice Activist,influencer,Advocates for environmental justice in Chicago
Stephanie Izard,,USA,en,Chicago,@stephanieizard,@stephanieizard,,Girl & the Goat,influencer,Promotes sustainable food practices
Asha Binbek,,USA,en,Chicago,@ashabinbek,not_sure,,Youth Climate Activist,influencer,Engages youth in climate action
Michael Howard,,USA,en,Chicago,@michaelhoward,not_sure,,Eden Place Nature Center,influencer,Leads urban nature conservation efforts
Nicole Doucet,,USA,en,Chicago,@nicolerdoucet,not_sure,,Sustainable Business Advocate,influencer,Promotes sustainable business practices
Ami Gandhi,,USA,en,Chicago,@amigandhi,not_sure,,Civil Rights Advocate,influencer,Focuses on social justice and equity
Rick Bayless,,USA,en,Chicago,@rick_bayless,@Rick_Bayless,,Chef and Sustainability Advocate,influencer,Promotes sustainable food systems
Maya-Camille Broussard,,USA,en,Chicago,@mayacamillebroussard,not_sure,,Justice of the Pies,influencer,Focuses on food justice and sustainability
Billy Dec,,USA,en,Chicago,@billydec,not_sure,,Rockit Ranch Productions,influencer,Promotes cultural and environmental initiatives
Jessica Murnane,,USA,en,Chicago,@jessicamurnane,not_sure,,One Part Plant,influencer,Advocates for plant-based living
Asha Ransby-Sporn,,USA,en,Chicago,@asharansbysporn,not_sure,,Black Youth Project 100,influencer,Focuses on racial and environmental justice
Eve Ewing,,USA,en,Chicago,@eveewing,@eveewing,,Writer and Educator,influencer,Explores social issues and climate justice
Tonika Johnson,,USA,en,Chicago,@tonikaj,not_sure,,Folded Map Project,influencer,Addresses urban segregation and equity
Damon Williams,,USA,en,Chicago,@damon_af,not_sure,,Let Us Breathe Collective,influencer,Focuses on social justice and climate action
Alicia Garza,,USA,en,Chicago,@chasinggarza,@aliciagarza,,Black Futures Lab,influencer,Advocates for racial and environmental justice
