name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Ravish Kumar,,IND,hi,Delhi,@ravishndtv,@ravishndtv,,NDTV,journalist,Prominent journalist covering politics and social issues
Barkha Dutt,,IND,hi,Delhi,@bdutt,@BDUTT,,Mojo Story,journalist,Covers geopolitics and climate issues
Rajdeep Sardesai,,IND,hi,Delhi,@sardesairajdeep,@sardesairajdeep,,India Today,journalist,Senior journalist with focus on politics and society
Sagarika Ghose,,IND,hi,Delhi,@sagarikaghose,@sagarikaghose,,Times of India,journalist,Writes on politics and social change
Nidhi Razdan,,IND,hi,Delhi,@nidhi.razdan,@Nidhi,,NDTV,journalist,Focus on international affairs and climate
Faye D'Souza,,IND,hi,Delhi,@fayedsouza,@fayedsouza,,Freelance,journalist,Covers social issues and climate change
Sreenivasan Jain,,IND,hi,Delhi,@sreenivasan.jain,@SreenivasanJain,,NDTV,journalist,Investigative journalist on politics and environment
Anubha Bhonsle,,IND,hi,Delhi,@anubhabhonsle,@anubhabhonsle,,Newsworthy,journalist,Focus on human rights and climate
Suhasini Haidar,,IND,hi,Delhi,@suhasinih,@suhasinih,,The Hindu,journalist,Covers international relations and geopolitics
Harish Damodaran,,IND,hi,Delhi,@harishdamodaran,not_sure,,Indian Express,journalist,Writes on agriculture and climate
Jyoti Malhotra,,IND,hi,Delhi,@jomalhotra,@jomalhotra,,The Print,journalist,Focus on foreign policy and peace
Mihir Sharma,,IND,hi,Delhi,@mihirssharma,@mihirssharma,,Bloomberg,journalist,Writes on economy and climate
Karan Thapar,,IND,hi,Delhi,@karanthapar,not_sure,,The Wire,journalist,Interviews on politics and environment
Shiv Aroor,,IND,hi,Delhi,@shivaroor,@ShivAroor,,India Today,journalist,Defense correspondent with focus on geopolitics
Anjana Om Kashyap,,IND,hi,Delhi,@anjanaomkashyap_aok,@anjanaomkashyap,,Aaj Tak,journalist,Covers politics and social issues
Rahul Kanwal,,IND,hi,Delhi,@rahulkanwal,@rahulkanwal,,India Today,journalist,Focus on politics and international affairs
Sweta Singh,,IND,hi,Delhi,@swetasinghofficial,@SwetaSinghAT,,Aaj Tak,journalist,Covers politics and environment
Vikram Chandra,,IND,hi,Delhi,@vikramchandra,@vikramchandra,,Editorji,journalist,Focus on technology and climate
Palki Sharma Upadhyay,,IND,hi,Delhi,@palkisharmaupadhyay,@palkisu,,WION,journalist,Covers international news and geopolitics
Siddharth Varadarajan,,IND,hi,Delhi,@svaradarajan,@svaradarajan,,The Wire,journalist,Focus on politics and social issues
Rohini Mohan,,IND,hi,Delhi,@rohini_mohan,not_sure,,Freelance,journalist,Writes on human rights and environment
Prannoy Roy,,IND,hi,Delhi,@prannoyroyndtv,not_sure,,NDTV,journalist,Senior journalist with focus on politics
Shekhar Gupta,,IND,hi,Delhi,@shekhargupta,@ShekharGupta,,The Print,journalist,Covers politics and international affairs
Saba Naqvi,,IND,hi,Delhi,@saba.naqvi,@_sabanaqvi,,Freelance,journalist,Focus on politics and social issues
Siddharth Bhatia,,IND,hi,Delhi,@siddharthbhatia,not_sure,,The Wire,journalist,Writes on politics and culture
Ritu Sarin,,IND,hi,Delhi,@ritusarin,not_sure,,Indian Express,journalist,Investigative journalist on politics and environment
Sagar Kulkarni,,IND,hi,Delhi,@sagarkulkarni,not_sure,,Deccan Herald,journalist,Covers politics and social issues
Shoma Chaudhury,,IND,hi,Delhi,@shomachaudhury,not_sure,,The Print,journalist,Focus on politics and culture
Sunetra Choudhury,,IND,hi,Delhi,@sunetrac,@sunetrac,,Hindustan Times,journalist,Covers politics and social issues
Suhasini Raj,,IND,hi,Delhi,@suhasiniraj,not_sure,,New York Times,journalist,Focus on politics and human rights
Vikram Doctor,,IND,hi,Delhi,@vikramdoctor,@vikramdoctor,,Economic Times,journalist,Writes on economy and environment
Anirban Bhattacharya,,IND,hi,Delhi,@anirbanbhattacharya,not_sure,,Times of India,journalist,Covers politics and social issues
Sandeep Bhushan,,IND,hi,Delhi,@sandeepbhushan,not_sure,,Freelance,journalist,Focus on media and politics
Sanjay Kapoor,,IND,hi,Delhi,@sanjaykapoor,not_sure,,Hardnews,journalist,Covers politics and international affairs
Seema Chishti,,IND,hi,Delhi,@seemachishti,not_sure,,Indian Express,journalist,Writes on politics and culture
Shivam Vij,,IND,hi,Delhi,@shivamvij,@duke140,,The Print,journalist,Covers politics and social issues
Smita Prakash,,IND,hi,Delhi,@smitaprakash,@smitaprakash,,ANI,journalist,Focus on politics and international affairs
Tavleen Singh,,IND,hi,Delhi,@tavleensingh,@tavleen_singh,,Indian Express,journalist,Writes on politics and culture
Uday Mahurkar,,IND,hi,Delhi,@udaymahurkar,@UdayMahurkar,,India Today,journalist,Covers politics and social issues
Vivek Kaul,,IND,hi,Delhi,@vivekkaul,@kaul_vivek,,Freelance,journalist,Writes on economy and environment
Yogendra Yadav,,IND,hi,Delhi,@yogendrayadav,@_YogendraYadav,,Swaraj India,journalist,Focus on politics and social issues
Zakka Jacob,,IND,hi,Delhi,@zakkajacob,@Zakka_Jacob,,CNN-News18,journalist,Covers international news and geopolitics
Ziya Us Salam,,IND,hi,Delhi,@ziyaussalam,not_sure,,The Hindu,journalist,Writes on culture and society
Aarti Tikoo Singh,,IND,hi,Delhi,@aartitikoo,not_sure,,Times of India,journalist,Covers politics and international affairs
Abhijit Majumder,,IND,hi,Delhi,@abhijitmajumder,@abhijitmajumder,,OpIndia,journalist,Focus on politics and social issues
Aditi Phadnis,,IND,hi,Delhi,@aditiphadnis,not_sure,,Business Standard,journalist,Writes on politics and economy
Aman Sethi,,IND,hi,Delhi,@amanseith,not_sure,,Hindustan Times,journalist,Covers politics and social issues
Amrita Tripathi,,IND,hi,Delhi,@amritat,not_sure,,Freelance,journalist,Focus on health and environment
Anant Goenka,,IND,hi,Delhi,@anantgoenka,not_sure,,Indian Express,journalist,Covers media and politics
Aniruddha Bahal,,IND,hi,Delhi,@aniruddhabahal,not_sure,,Cobrapost,journalist,Investigative journalist on politics
Anjana Menon,,IND,hi,Delhi,@anjana_menon,not_sure,,Mint,journalist,Writes on economy and environment
Ankit Tyagi,,IND,hi,Delhi,@ankit.tyagi,not_sure,,India Today,journalist,Covers politics and social issues
Arfa Khanum Sherwani,,IND,hi,Delhi,@arfakhanum,@khanumarfa,,The Wire,journalist,Covers politics and social issues
Arnab Goswami,,IND,hi,Delhi,@arnab.r.goswami,not_sure,,Republic TV,journalist,Focus on politics and international affairs
Ashok Malik,,IND,hi,Delhi,@ashokmalik,not_sure,,Observer Research Foundation,journalist,Writes on politics and international affairs
Bahar Dutt,,IND,hi,Delhi,@bahardutt,not_sure,,Freelance,journalist,Focus on environment and wildlife
Bhupendra Chaubey,,IND,hi,Delhi,@bhupendrachaubey,@bhupendrachaube,,CNN-News18,journalist,Covers politics and social issues
Chitra Subramaniam,,IND,hi,Delhi,@chitrasubramaniam,not_sure,,The News Minute,journalist,Investigative journalist on politics
Dilip Cherian,,IND,hi,Delhi,@dilipcherian,not_sure,,Perfect Relations,journalist,Writes on politics and media
Gaurav Sawant,,IND,hi,Delhi,@gauravsawant,@gauravcsawant,,India Today,journalist,Covers defense and geopolitics
Harinder Baweja,,IND,hi,Delhi,@harinderbaweja,not_sure,,Hindustan Times,journalist,Focus on politics and international affairs
Hartosh Singh Bal,,IND,hi,Delhi,@hartoshbal,not_sure,,The Caravan,journalist,Covers politics and social issues
Indrani Bagchi,,IND,hi,Delhi,@indranibagchi,not_sure,,Times of India,journalist,Writes on foreign policy and geopolitics
Kaveree Bamzai,,IND,hi,Delhi,@kavereeb,not_sure,,India Today,journalist,Covers politics and culture
Kavita Krishnan,,IND,hi,Delhi,@kavitakrishnan,not_sure,,Freelance,journalist,Focus on human rights and social issues
Kumar Ketkar,,IND,hi,Delhi,@kumarketkar,not_sure,,Rajya Sabha,journalist,Covers politics and social issues
