name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Australian Conservation Foundation,,AUS,en,Melbourne,@ausconservation,@AusConservation,,,ngo,National environmental advocacy with Melbourne office
Friends of the Earth Melbourne,,AUS,en,Melbourne,@foemelbourne,@FoEAustralia,,,ngo,Local environmental justice group
Environment Victoria,,AUS,en,Melbourne,@environmentvictoria,@EnviroVic,,,ngo,State's leading environment group
Climate Council,,AUS,en,Melbourne,@climatecouncil,@climatecouncil,,,ngo,National climate change communication
The Wilderness Society Victoria,,AUS,en,Melbourne,@wilderness_aus,@Wilderness_Aus,,,ngo,Focus on nature conservation
Australian Youth Climate Coalition,,AUS,en,Melbourne,@aycc,@AYCC,,,ngo,Youth-led climate action
Oxfam Australia,,AUS,en,Melbourne,@oxfamaus,@OxfamAustralia,,,ngo,Global poverty and climate justice
Greenpeace Australia Pacific,,AUS,en,Melbourne,@greenpeaceap,@GreenpeaceAP,,,ngo,Environmental activism and campaigns
Melbourne Sustainable Society Institute,,AUS,en,Melbourne,@mssi_unimelb,not_sure,,,ngo,Research on sustainability issues
Beyond Zero Emissions,,AUS,en,Melbourne,@beyondzeroemissions,@beyondzeronews,,,ngo,Research and advocacy for zero emissions
CERES Community Environment Park,,AUS,en,Melbourne,@ceresbrunswick,not_sure,,,ngo,Urban farm and sustainability center
Doctors for the Environment Australia,,AUS,en,Melbourne,@doctorsfortheenvironment,@DocsEnvAus,,,ngo,Health professionals advocating for environment
Australian Marine Conservation Society,,AUS,en,Melbourne,@marineconservationau,@AustMarConsSoc,,,ngo,Marine environment protection
Victorian National Parks Association,,AUS,en,Melbourne,@vnpa_victoria,@VicNPA,,,ngo,Conservation of Victoria's natural heritage
Sea Shepherd Australia,,AUS,en,Melbourne,@seashepherdaustralia,@SeaShepherdAust,,,ngo,Marine wildlife conservation
Australian Red Cross,,AUS,en,Melbourne,@redcrossau,@RedCrossAU,,,ngo,Humanitarian aid and disaster response
Amnesty International Australia,,AUS,en,Melbourne,@amnestyOz,@amnestyOz,,,ngo,Human rights advocacy
World Wildlife Fund Australia,,AUS,en,Melbourne,@wwf_australia,@WWF_Australia,,,ngo,Biodiversity and conservation efforts
The Nature Conservancy Australia,,AUS,en,Melbourne,@nature_aus,@nature_aus,,,ngo,Conservation of lands and waters
Environmental Justice Australia,,AUS,en,Melbourne,@envirojusticeau,@envirojustice,,,ngo,Legal advocacy for environmental justice
Australian Institute of International Affairs,,AUS,en,Melbourne,@aiia_national,@AIIANational,,,ngo,Geopolitical and international affairs
Sustainable Living Foundation,,AUS,en,Melbourne,@sustainablelivingfestival,not_found,,,ngo,Promotes sustainable living practices
Human Rights Law Centre,,AUS,en,Melbourne,@hrlcentre,@rightsagenda,,,ngo,Legal advocacy for human rights
Australian Marine Conservation Society,,AUS,en,Melbourne,@marineconservation.au,@AustMarConsSoc,,,ngo,Protects ocean wildlife and habitats
BirdLife Australia,,AUS,en,Melbourne,@birdlifeoz,@BirdlifeOz,,,ngo,Conserves native birds and their habitats
Plan International Australia,,AUS,en,Melbourne,@planaustralia,@PlanAustralia,,,ngo,Child rights and equality for girls
Human Rights Law Centre,,AUS,en,Melbourne,@hrlcmelbourne,@rightsagenda,,,ngo,Advocates for human rights and justice
Asylum Seeker Resource Centre,,AUS,en,Melbourne,@asrc1,@ASRC1,,,ngo,Supports asylum seekers and refugees
Save the Children Australia,,AUS,en,Melbourne,@savethechildrenau,@SaveChildrenAust,,,ngo,Child protection and education
The Climate Reality Project Australia,,AUS,en,Melbourne,@climatereality,not_sure,,,ngo,Climate change education and advocacy
Australian Volunteers International,,AUS,en,Melbourne,@ausvolunteers,@ausvolunteers,,,ngo,International volunteering and development
Sustain: The Australian Food Network,,AUS,en,Melbourne,@sustainaus,not_sure,,,ngo,Promotes sustainable food systems
Edmund Rice Centre,,AUS,en,Melbourne,@edmundricecentre,not_found,,,ngo,Social justice and environmental education
Australian Peace Foundation,,AUS,en,Melbourne,@auspeacefoundation,not_found,,,ngo,Promotes peace and conflict resolution
The Smith Family,,AUS,en,Melbourne,@thesmithfamily_au,@SmithFamily_org,,,ngo,Supports disadvantaged children through education
The Salvation Army Australia,,AUS,en,Melbourne,@salvosau,@salvos,,,ngo,Provides social services and emergency relief
Brotherhood of St Laurence,,AUS,en,Melbourne,@brotherhoodstlaurence,@Brotherhoodinfo,,,ngo,Tackles poverty and social exclusion
Jesuit Social Services,,AUS,en,Melbourne,@jesuitsocialservices,@JesuitSocialSvcs,,,ngo,Social justice and community support
Anglicare Victoria,,AUS,en,Melbourne,@anglicarevic,@AnglicareVic,,,ngo,"Supports children, young people, and families"
Mission Australia,,AUS,en,Melbourne,@mission_aust,@MissionAust,,,ngo,Community services and homelessness support
Victorian Council of Social Service,,AUS,en,Melbourne,@vcoss,@VCOSS,,,ngo,Advocates for social justice and equity
Good Shepherd Australia New Zealand,,AUS,en,Melbourne,@goodshepherdanz,not_found,,,ngo,Supports women and children in need
Sacred Heart Mission,,AUS,en,Melbourne,@sacredheartmission,@SHM_Community,,,ngo,Supports people experiencing homelessness
Melbourne City Mission,,AUS,en,Melbourne,@melbcitymission,@MelbCityMission,,,ngo,Provides support for vulnerable communities
YWCA Australia,,AUS,en,Melbourne,@ywca_australia,@YWCAAus,,,ngo,Empowers women and promotes gender equality
Launch Housing,,AUS,en,Melbourne,@launchhousing,@LaunchHousing,,,ngo,Homelessness services and advocacy
Cohealth,,AUS,en,Melbourne,@cohealth_au,@cohealth_au,,,ngo,Community health services provider
Mind Australia,,AUS,en,Melbourne,@mindaustralia,@MindAustralia,,,ngo,Mental health support services
Beyond Blue,,AUS,en,Melbourne,@beyondblueofficial,@beyondblue,,,ngo,Mental health and wellbeing support
Headspace,,AUS,en,Melbourne,@headspace_aus,@headspace_aus,,,ngo,Youth mental health services
