name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Nour El Sherbini,,EGY,ar,Cairo,@nour_elsherbini,not_sure,,Environmental Advocate,influencer,Promotes sustainable living in Cairo
Ahmed Yassin,,EGY,ar,Cairo,@ahmedyassin,not_sure,,Climate Change Activist,influencer,Focuses on climate change awareness
Mona Seif,,EGY,ar,Cairo,@monasosh,not_sure,,Human Rights Advocate,influencer,Advocates for peace and human rights
Heba El Labban,,EGY,ar,Cairo,@hebaellabban,not_sure,,Nature Conservationist,influencer,Leads nature conservation projects
Omar Samra,,EGY,ar,Cairo,@omarsamra,not_sure,,Adventurer and Environmentalist,influencer,Promotes environmental awareness through adventures
Yasmin El Sayed,,EGY,ar,Cairo,@yasminelsayed,not_sure,,Sustainability Blogger,influencer,Writes about sustainable practices
Karim El Hayawan,,EGY,ar,Cairo,@karimelhayawan,not_sure,,Photographer and Environmentalist,influencer,Captures environmental issues through photography
Dina El Wedidi,,EGY,ar,Cairo,@dinaelwedidiofficial,not_sure,,Musician and Activist,influencer,Incorporates social issues in music
Hassan Abouelrouss,,EGY,ar,Cairo,@hassanabouelrouss,not_sure,,Actor and Environmental Advocate,influencer,Promotes environmental causes
Amr Khaled,,EGY,ar,Cairo,@amrkhaled,not_sure,,Public Speaker,influencer,Speaks on peace and social issues
Rania Elwani,,EGY,ar,Cairo,@raniaelwani,not_sure,,Olympian and Environmentalist,influencer,Advocates for sports and environment
Mohamed El Shorbagy,,EGY,ar,Cairo,@moelshorbagy,not_sure,,Professional Squash Player,influencer,Promotes healthy living and environment
Alaa Mubarak,,EGY,ar,Cairo,@alaamubarak,not_sure,,Public Figure,influencer,Discusses geopolitics and social issues
Nadia Kamel,,EGY,ar,Cairo,@nadiakamel,not_sure,,Filmmaker and Activist,influencer,Focuses on social justice and peace
Hend Sabry,,EGY,ar,Cairo,@hendsabri,@HendSabry,,Actress and UN Ambassador,influencer,Advocates for women's rights and peace
Amr Diab,,EGY,ar,Cairo,@amrdiab,@amrdiab,,Musician,influencer,Promotes peace through music
Yasmine Sabri,,EGY,ar,Cairo,@yasmine_sabri,not_sure,,Actress,influencer,Advocates for social causes
Mohamed Salah,,EGY,ar,Cairo,@mosalah,@MoSalah,,Footballer,influencer,Supports peace and social initiatives
Naguib Sawiris,,EGY,ar,Cairo,@naguibsawiris,@NaguibSawiris,,Businessman,influencer,Discusses economic and geopolitical issues
