name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Amira El-Noshokaty,,EGY,ar,Cairo,@amiraelnoshokaty,not_sure,,Ahram Online,journalist,Covers environment and culture
Mohamed Elmenshawy,,EGY,ar,Cairo,@mohamedelmenshawy,not_sure,,Al-Masry Al-Youm,journalist,Focus on geopolitics and international affairs
Heba Saleh,,EGY,ar,Cairo,@hebasaleh,@hebasa,,Financial Times,journalist,Reports on Middle East politics
Yasmine El-Rashidi,,EGY,ar,Cairo,@yasmineelrashidi,@yasminerashidi,,New York Review of Books,journalist,Writes on Egyptian society and politics
Mona El-Naggar,,EGY,ar,Cairo,@monaelnaggar,@monaelnaggar,,The New York Times,journalist,Covers Middle East issues
Hassan Hassan,,EGY,ar,Cairo,@hxhassan,@hxhassan,,The National,journalist,Focus on Middle East geopolitics
Lina Attalah,,EGY,ar,Cairo,@linaattalah,@linaattalah,,Mada Masr,journalist,"Editor-in-chief, covers politics and society"
Shahira Amin,,EGY,ar,Cairo,@shahiraamin,@sherryamin13,,Freelance,journalist,Covers human rights and environment
Khaled Diab,,EGY,ar,Cairo,@diabolicalidea,@diabolicalidea,,The Guardian,journalist,Writes on environment and politics
Rania Al Malky,,EGY,ar,Cairo,@raniaalmalky,not_sure,,Daily News Egypt,journalist,Focus on Egyptian politics and society
Omar Robert Hamilton,,EGY,ar,Cairo,@orhamilton,@orhamilton,,The Guardian,journalist,Covers Middle East politics
Nadia El-Awady,,EGY,ar,Cairo,@nadiageek,@nadiageek,,Freelance,journalist,Writes on science and environment
Bel Trew,,EGY,ar,Cairo,@beltrew,@beltrew,,The Independent,journalist,Middle East correspondent
Heba Afify,,EGY,ar,Cairo,@hebaafify,not_sure,,Mada Masr,journalist,Covers politics and society
Ruth Michaelson,,EGY,ar,Cairo,@msrmichaelson,not_sure,,The Guardian,journalist,Focus on Middle East affairs
Patrick Kingsley,,EGY,ar,Cairo,@patrickkingsley,@PatrickKingsley,,The New York Times,journalist,Covers international affairs
Declan Walsh,,EGY,ar,Cairo,@declanwalsh,@declanwalsh,,The New York Times,journalist,Focus on Middle East geopolitics
Leila Fadel,,EGY,ar,Cairo,@leilafadel,@LeilaFadel,,NPR,journalist,Covers Middle East and North Africa
Ahdaf Soueif,,EGY,ar,Cairo,@ahdafsoueif,not_sure,,The Guardian,journalist,Writes on Egyptian culture and politics
Kareem Fahim,,EGY,ar,Cairo,@kfahim,@kfahim,,The Washington Post,journalist,Middle East correspondent
Hend Kortam,,EGY,ar,Cairo,@hendkortam,not_sure,,Daily News Egypt,journalist,Covers politics and society
