name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Saalumarada Thimmakka,,IND,hi,Bangalore,@saalumaradathimmakka,not_sure,,Environmental Activist,influencer,Renowned environmentalist from Karnataka
Vani Murthy,,IND,hi,Bangalore,@wormrani,not_sure,,Waste Management Advocate,influencer,Promotes sustainable waste management practices
Suresh Heblikar,,IND,hi,Bangalore,@sureshheblikar,not_sure,,Eco-Watch,influencer,Environmental filmmaker and activist
Kartikeya Sarabhai,,IND,hi,Bangalore,@ceeindia,not_sure,,Centre for Environment Education,influencer,Prominent environmental educator
Harini Nagendra,,IND,hi,Bangalore,@harini.nagendra,not_sure,,Azim Premji University,influencer,Urban ecologist and author
Leo Saldanha,,IND,hi,Bangalore,@esgindia,not_sure,,Environment Support Group,influencer,Environmental justice advocate
Siddharth Agarwal,,IND,hi,Bangalore,@vagabond_sid,not_sure,,Vagabond,influencer,Focuses on water conservation
Pallavi Rajkumar,,IND,hi,Bangalore,@pallavirajkumar,not_sure,,Sustainability Advocate,influencer,Promotes sustainable living practices
Vikram Aditya,,IND,hi,Bangalore,@vikramaditya,not_sure,,Wildlife Conservationist,influencer,Wildlife conservation and research
Sowmya Reddy,,IND,hi,Bangalore,@sowmyareddyr,not_sure,,Politician and Environmentalist,influencer,Advocates for environmental policies
Aditi De,,IND,hi,Bangalore,@aditide,not_sure,,Author and Journalist,influencer,Writes on environment and culture
Prerna Singh Bindra,,IND,hi,Bangalore,@prernabindra,not_sure,,Wildlife Conservationist,influencer,Wildlife conservation advocate
Rohini Nilekani,,IND,hi,Bangalore,@rohininilekani,not_sure,,Philanthropist,influencer,Focuses on water and environment
Sunita Rao,,IND,hi,Bangalore,@sunita_rao,not_sure,,Kalpavriksh,influencer,Biodiversity conservationist
Kiran Kumar,,IND,hi,Bangalore,@kiran_kumar,not_sure,,Space Scientist,influencer,Advocates for sustainable technology
Arati Kumar-Rao,,IND,hi,Bangalore,@aratikumarrao,@aratikumarrao,,Environmental Photographer,influencer,Focuses on environmental issues
Nityanand Jayaraman,,IND,hi,Bangalore,@nityjayaraman,not_sure,,Environmental Activist,influencer,Environmental and social justice
Pavan Sukhdev,,IND,hi,Bangalore,@pavansukhdev,@pavan_sukhdev,,Economist,influencer,Green economy advocate
Ranjini K,,IND,hi,Bangalore,@ranjini_k,not_sure,,Sustainability Consultant,influencer,Promotes sustainable business practices
Rohit Chakravarty,,IND,hi,Bangalore,@rohit.chakravarty,not_sure,,Wildlife Biologist,influencer,Focuses on bat conservation
