name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Bruno Monteferri,,PER,es,Lima,@brunomonteferri,not_sure,,Conservamos por Naturaleza,influencer,Environmental lawyer and conservationist
Lucía Ruiz Ostoic,,PER,es,Lima,@luciaruizo,not_sure,,Former Minister of Environment,influencer,Advocate for sustainable development
Patricia Majluf,,PER,es,Lima,@patriciamajluf,not_sure,,Oceana Peru,influencer,Marine biologist and ocean conservationist
Gabriela Salvador,,PER,es,Lima,@gabisalvador,not_sure,,Environmental Journalist,influencer,Covers climate change and biodiversity
José Álvarez Alonso,,PER,es,Lima,@josealvarezalonso,not_sure,,Ministry of Environment,influencer,Biodiversity expert and advocate
María Elena Foronda,,PER,es,Lima,@mariaelenaforonda,not_sure,,NGO leader,influencer,Focus on environmental justice
Rodrigo Benza,,PER,es,Lima,@rodrigobenza,not_sure,,Documentary Filmmaker,influencer,Creates films on environmental issues
Fiorella Migliore,,PER,es,Lima,@fiorellamigliore,not_sure,,Actress and Activist,influencer,Promotes sustainable living
Luis Espinel,,PER,es,Lima,@luisespinel,not_sure,,WWF Peru,influencer,Leads conservation projects
Verónica Linares,,PER,es,Lima,@veronicalinares,not_sure,,Journalist,influencer,Covers environmental news
Santiago Alfaro,,PER,es,Lima,@santiagoalfaro,not_sure,,Cultural Anthropologist,influencer,Studies human-nature interactions
Alejandra Rojas,,PER,es,Lima,@alejandrarojas,not_sure,,Climate Activist,influencer,Focus on youth engagement
Carlos Paredes,,PER,es,Lima,@carlosparedes,not_sure,,Environmental Lawyer,influencer,Advocates for policy change
Natalia Majluf,,PER,es,Lima,@nataliamajluf,not_sure,,Art Historian,influencer,Links art and environment
Javier Pulgar Vidal,,PER,es,Lima,@javierpulgarvidal,not_sure,,Geographer,influencer,Promotes sustainable land use
Claudia Cisneros,,PER,es,Lima,@claudiacisneros,not_sure,,Journalist and Activist,influencer,Focus on climate and social issues
Fernando Eguren,,PER,es,Lima,@fernandoeguren,not_sure,,Rural Development Expert,influencer,Advocates for sustainable agriculture
Tatiana Espinosa,,PER,es,Lima,@tatianaespinosa,not_sure,,Conservationist,influencer,Protects Amazonian ecosystems
Gonzalo Torres,,PER,es,Lima,@gonzalotorres,not_sure,,TV Host,influencer,Promotes environmental awareness
Ana Romero,,PER,es,Lima,@anaromero,not_sure,,Environmental Educator,influencer,Focus on youth education
Ricardo Morán,,PER,es,Lima,@ricardomoran,not_sure,,Producer and Activist,influencer,Supports environmental initiatives
María Paz de la Cruz,,PER,es,Lima,@mariapazdelacruz,not_sure,,Climate Policy Expert,influencer,Advocates for policy reform
Jorge Abad,,PER,es,Lima,@jorgeabad,not_sure,,Hydrologist,influencer,Focus on water conservation
Cecilia Blume,,PER,es,Lima,@ceciliablume,not_sure,,Lawyer and Activist,influencer,Promotes environmental law
Alonso Segura,,PER,es,Lima,@alonsosegura,not_sure,,Economist,influencer,Focus on sustainable economics
Rosa María Palacios,,PER,es,Lima,@rosamariapalacios,not_sure,,Journalist,influencer,Covers environmental policy
Gianella Neyra,,PER,es,Lima,@gianellaneyra,not_sure,,Actress and Activist,influencer,Promotes eco-friendly lifestyles
Hugo Ñopo,,PER,es,Lima,@hugonopo,not_sure,,Economist,influencer,Researches environmental economics
Mónica Delta,,PER,es,Lima,@monicadelta,not_sure,,Journalist,influencer,Focus on climate change reporting
Pedro Solano,,PER,es,Lima,@pedrosolano,not_sure,,SPDA,influencer,Environmental lawyer and advocate
Milagros Salazar,,PER,es,Lima,@milagrossalazar,not_sure,,Journalist,influencer,Investigates environmental issues
Diego García Sayán,,PER,es,Lima,@diegogarciasayan,not_sure,,Jurist,influencer,Focus on environmental justice
Mabel Huertas,,PER,es,Lima,@mabelhuertas,not_sure,,Journalist,influencer,Covers environmental topics
Raúl Tola,,PER,es,Lima,@raultola,not_sure,,Writer and Journalist,influencer,Writes on environmental issues
María Teresa Braschi,,PER,es,Lima,@mariateresabraschi,not_sure,,TV Host,influencer,Promotes environmental awareness
Alberto de Belaunde,,PER,es,Lima,@albertodebelaunde,@AlbertoBelaunde,,Congressman,influencer,Advocates for environmental policies
María del Carmen Alva,,PER,es,Lima,@mariadelcarmenalva,@MdelCarmenAlva,,Politician,influencer,Focus on environmental legislation
Augusto Álvarez Rodrich,,PER,es,Lima,@augustoalvarezrodrich,@alvarezrodrich,,Journalist,influencer,Covers climate and politics
Claudia Llosa,,PER,es,Lima,@claudiallosa,not_sure,,Filmmaker,influencer,Creates films on social issues
Fernando Carvalho,,PER,es,Lima,@fernandocarvalho,not_sure,,Journalist,influencer,Focus on environmental reporting
Natalia Málaga,,PER,es,Lima,@natalia_malaga,not_sure,,Coach and Activist,influencer,Promotes youth engagement in environment
Gisela Valcárcel,,PER,es,Lima,@giselavalcarcel,@GiselaPeru,,TV Host,influencer,Advocates for environmental causes
Juan Diego Flórez,,PER,es,Lima,@juandiegoflorez,@jdiego_florez,,Opera Singer,influencer,Supports environmental initiatives
Magaly Medina,,PER,es,Lima,@magalymedinav,@magalyperu,,TV Host,influencer,Covers social and environmental issues
Renzo Schuller,,PER,es,Lima,@renzoschuller,not_sure,,Actor and Host,influencer,Promotes eco-friendly practices
Sofía Mulanovich,,PER,es,Lima,@sofiamulanovich,not_sure,,Surfer and Activist,influencer,Advocates for ocean conservation
Bruno Ascenzo,,PER,es,Lima,@brunoascenzo,not_sure,,Actor and Director,influencer,Supports environmental storytelling
María Pía Copello,,PER,es,Lima,@piacopello,@piacopello,,TV Host,influencer,Promotes environmental awareness
Gian Marco,,PER,es,Lima,@gianmarcooficial,@gianmarcomusica,,Musician,influencer,Supports environmental causes
Natalia Barrera,,PER,es,Lima,@nataliabarrera,not_sure,,Environmental Scientist,influencer,Researches climate change impacts
Andrés Roca Rey,,PER,es,Lima,@andresrocaderey,@RocaRey_,,Bullfighter,influencer,Promotes cultural and environmental heritage
Daniela Darcourt,,PER,es,Lima,@danieladarcourtoficial,@DaniDarcourt,,Singer,influencer,Advocates for environmental awareness
Sergio Galliani,,PER,es,Lima,@sergiogalliani,not_sure,,Actor,influencer,Supports environmental initiatives
Mónica Sánchez,,PER,es,Lima,@monicasanchez,not_sure,,Actress,influencer,Promotes sustainable living
Christian Meier,,PER,es,Lima,@oliverdog,@oliverdog,,Actor and Musician,influencer,Supports environmental causes
Maricarmen Marín,,PER,es,Lima,@maricarmenmarins,not_sure,,Singer and Host,influencer,Promotes eco-friendly practices
Ezio Oliva,,PER,es,Lima,@eziooliva,@EzioOliva,,Singer,influencer,Advocates for environmental awareness
Karen Schwarz,,PER,es,Lima,@karenschwarzespinoza,@KarenSchwarz,,TV Host,influencer,Promotes environmental causes
Jesús Alzamora,,PER,es,Lima,@jesusalzamora,@JesusAlzamora,,Actor and Host,influencer,Supports environmental storytelling
Melania Urbina,,PER,es,Lima,@melaniaurbina,not_sure,,Actress,influencer,Promotes sustainable lifestyles
Mariana Alegre,,PER,es,Lima,@marianaalegre,not_sure,,Lima Cómo Vamos,influencer,Urban development and sustainability advocate
Rodrigo Ruiz,,PER,es,Lima,@rodrigoruz,not_sure,,Peruvian Amazon,influencer,Advocate for Amazon rainforest protection
Lucía Ruiz,,PER,es,Lima,@luciaruiz,not_sure,,Ministerio del Ambiente,influencer,Former Minister of Environment
Verónica Klingenberger,,PER,es,Lima,@veroklingenberger,not_sure,,Eco House Peru,influencer,Environmental educator and activist
Gonzalo Quijandría,,PER,es,Lima,@gonzaloquijandria,not_sure,,Peru LNG,influencer,Sustainability and corporate responsibility expert
Sofía Carrillo,,PER,es,Lima,@sofiacarrillo,not_sure,,Environmental Journalist,influencer,Journalist covering climate change
Juan Diego Calisto,,PER,es,Lima,@juandiegocalisto,not_sure,,Hombro a Hombro,influencer,Social entrepreneur and environmentalist
Diego de la Torre,,PER,es,Lima,@diegodelatorre,not_sure,,Grupo Palmas,influencer,Business leader in sustainable development
Rocío Espinoza,,PER,es,Lima,@rocioespinoza,not_sure,,EcoPeru,influencer,Environmental activist and educator
María del Carmen Sacasa,,PER,es,Lima,@mariadelcarmensacasa,not_sure,,UNDP Peru,influencer,UNDP representative in Peru
Carlos Neuhaus,,PER,es,Lima,@carlosneuhaus,not_sure,,COPAL,influencer,Promoter of sustainable sports events
Paola Miglio,,PER,es,Lima,@paolamiglio,not_sure,,Food Writer,influencer,Food writer with focus on sustainability
Renzo Reggiardo,,PER,es,Lima,@renzoreggiardo,@RenzoReggiardo,,Politician,influencer,Politician advocating for environmental policies
Daniel Olivares,,PER,es,Lima,@danielolivares,@danielfolivares,,Politician,influencer,Politician focused on environmental legislation
Jorge Muñoz,,PER,es,Lima,@jorgemunoz,@JorgeMunozAP,,Mayor of Lima,influencer,Mayor with sustainability initiatives
María Fernanda Reyes,,PER,es,Lima,@mariafernandareyes,not_sure,,Surfer,influencer,Surfer and ocean conservation advocate
Miguel Incháustegui,,PER,es,Lima,@miguelinchaustegui,not_sure,,Politician,influencer,Politician with focus on sustainable mining
Susana Baca,,PER,es,Lima,@susanabaca,@SusanaBaca,,Singer,influencer,Singer and cultural ambassador
Gian Marco Zignago,,PER,es,Lima,@gianmarco,@gianmarcomusica,,Musician,influencer,Musician supporting environmental causes
Natalia Málaga,,PER,es,Lima,@nataliamalaga,not_sure,,Coach,influencer,Volleyball coach and environmental advocate
Gastón Acurio,,PER,es,Lima,@gastonacurio,@gaston_acurio,,Chef,influencer,Chef promoting sustainable gastronomy
Jaime de Althaus,,PER,es,Lima,@jaimedealthaus,@jdealthaus,,Journalist,influencer,Journalist with focus on geopolitics
Fernando Zavala,,PER,es,Lima,@fernandozavala,not_sure,,Economist,influencer,Economist with sustainability focus
Marisol Espinoza,,PER,es,Lima,@marisolespinoza,not_sure,,Politician,influencer,Politician advocating for environmental policies
Carlos Bruce,,PER,es,Lima,@carlosbruce,@Carlos_Bruce,,Politician,influencer,Politician with focus on urban development
Julio Guzmán,,PER,es,Lima,@julioguzman,@julioguzmanperu,,Politician,influencer,Politician with environmental agenda
Verónika Mendoza,,PER,es,Lima,@veronikamendoza,@Vero_Mendoza_F,,Politician,influencer,Politician advocating for climate justice
Pedro Suárez Vértiz,,PER,es,Lima,@pedrosuarezvertiz,@PSuarezVertiz,,Musician,influencer,Musician supporting environmental causes
Gisela Valcárcel,,PER,es,Lima,@giselavalcarcelperu,not_sure,,TV Host,influencer,TV host supporting environmental causes
Santiago Roncagliolo,,PER,es,Lima,@sroncagliolo,@twitroncagliolo,,Writer,influencer,Writer with focus on social issues
Tatiana Astengo,,PER,es,Lima,@tatianaastengo,@TatianaAstengoB,,Actress,influencer,Actress and environmental advocate
Renato Cisneros,,PER,es,Lima,@recisneros,@recisneros,,Writer,influencer,Writer with environmental themes
Mávila Huertas,,PER,es,Lima,@mavilahuertas,@mavilahuertas,,Journalist,influencer,Journalist with focus on climate change
Carla García,,PER,es,Lima,@carlagarcian,not_sure,,Journalist,influencer,Journalist with environmental focus
Joaquín de Orbegoso,,PER,es,Lima,@joaquindeorbegoso,not_sure,,Actor,influencer,Actor and environmental advocate
Natalia Cárdenas,,PER,es,Lima,@nataliacardenas,not_sure,,Environmental Scientist,influencer,Scientist focused on climate change
Fernando Armas,,PER,es,Lima,@fernandoarmas,not_sure,,Comedian,influencer,Comedian supporting environmental causes
María Grazia Gamarra,,PER,es,Lima,@mariagraziagamarra,not_sure,,Actress,influencer,Actress and environmental advocate
Vanessa Terkes,,PER,es,Lima,@vanessaterkes,not_sure,,Actress,influencer,Actress and environmental advocate
Carlos Alcántara,,PER,es,Lima,@cachinalcantara,not_sure,,Actor,influencer,Actor supporting environmental causes
