name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Rina Sawayama,,JPN,ja,Tokyo,@rinasonline,@rinasawayama,,,influencer,Singer-songwriter advocating for climate action
Yusuke Suzuki,,JPN,ja,Tokyo,@yusuke_suzuki,not_sure,,Tokyo Environmental Group,influencer,Environmental activist and speaker
Haruka Kuroda,,JPN,ja,Tokyo,@haruka_kuroda,not_sure,,,influencer,Actress and climate change advocate
Ken Mogi,,JPN,ja,Tokyo,@kenmogi,@kenmogi,,,influencer,Neuroscientist and author on nature's impact
Mika Ninagawa,,JPN,ja,Tokyo,@ninagawamika,@ninagawamika,,,influencer,Photographer focusing on nature and beauty
Tetsuya Bessho,,JPN,ja,Tokyo,@tetsuyabessho,not_sure,,,influencer,Actor and UN environmental ambassador
Yuka Mizuhara,,JPN,ja,Tokyo,@yuka,not_sure,,,influencer,Model and environmental advocate
Shuzo Ohira,,JPN,ja,Tokyo,@shuzo_ohira,not_sure,,,influencer,Journalist covering geopolitics and climate
Naomi Watanabe,,JPN,ja,Tokyo,@watanabenaomi703,@watanabe_naomi,,,influencer,Comedian and advocate for sustainable living
Yoshiki Hayashi,,JPN,ja,Tokyo,@yoshikiofficial,@YoshikiOfficial,,,influencer,Musician supporting peace initiatives
Ryohei Kato,,JPN,ja,Tokyo,@ryohei_kato,not_sure,,,influencer,Olympic gymnast promoting environmental health
Sakura Ando,,JPN,ja,Tokyo,@sakuraando,not_sure,,,influencer,Actress and nature conservation supporter
Takashi Murakami,,JPN,ja,Tokyo,@takashipom,@takashipom,,,influencer,Artist with focus on nature themes
Kiko Mizuhara,,JPN,ja,Tokyo,@i_am_kiko,@kikoxxx,,,influencer,Model and climate change advocate
Hiroshi Fujiwara,,JPN,ja,Tokyo,@fujiwarahiroshi,not_sure,,,influencer,Designer promoting sustainable fashion
Kazuyo Sejima,,JPN,ja,Tokyo,@kazuyosejima,not_sure,,,influencer,Architect focusing on eco-friendly designs
Rina Tanaka,,JPN,ja,Tokyo,@rinatanaka,not_sure,,,influencer,Blogger on sustainable living
Taro Yamamoto,,JPN,ja,Tokyo,@taro.yamamoto,not_sure,,,influencer,Politician advocating for peace and environment
