name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Nadya Hutagalung,,IDN,id,Jakarta,@nadyahutagalung,@nadyahutagalung,,,influencer,Environmental advocate and TV host
Hamish Daud,,IDN,id,Jakarta,@hamishdw,@hamishdw,,,influencer,Co-founder of ocean conservation NGO
Dian Sastrowardoyo,,IDN,id,Jakarta,@therealdisastr,@therealDiSastr,,,influencer,Actress and environmental activist
Melati Wijsen,,IDN,id,Jakarta,@melatiwijsen,not_sure,,Bye Bye Plastic Bags,influencer,Youth environmental activist
Rara Sekar,,IDN,id,Jakarta,@rarasekar,not_sure,,,influencer,Musician and environmental advocate
Gita Savitri Devi,,IDN,id,Jakarta,@gitasav,@gitasav,,,influencer,Content creator on sustainable living
Andien Aisyah,,IDN,id,Jakarta,@andienaisyah,@andienaisyah,,,influencer,Singer and environmental advocate
Tulus,,IDN,id,Jakarta,@tulusm,@tulusm,,,influencer,Singer-songwriter supporting environmental causes
Agnez Mo,,IDN,id,Jakarta,@agnezmo,@agnezmo,,,influencer,International artist with environmental advocacy
Reza Rahadian,,IDN,id,Jakarta,@officialpilarez,not_sure,,,influencer,Actor and environmental supporter
Eva Celia,,IDN,id,Jakarta,@evacelia,not_sure,,,influencer,Singer and climate change advocate
Nicholas Saputra,,IDN,id,Jakarta,@nicholassaputra,not_sure,,,influencer,Actor and environmental activist
Maudy Ayunda,,IDN,id,Jakarta,@maudyayunda,@maudyayunda,,,influencer,Singer and education advocate
Isyana Sarasvati,,IDN,id,Jakarta,@isyanasarasvati,@isyanasarasvati,,,influencer,Singer and environmental supporter
Raisa Andriana,,IDN,id,Jakarta,@raisa6690,@raisa6690,,,influencer,Singer and nature conservation advocate
Vidi Aldiano,,IDN,id,Jakarta,@vidialdiano,@vidialdiano,,,influencer,Singer and environmental supporter
Cinta Laura,,IDN,id,Jakarta,@claurakiehl,@xcintakiehlx,,,influencer,Actress and environmental advocate
Chelsea Islan,,IDN,id,Jakarta,@chelseaislan,not_sure,,,influencer,Actress and peace advocate
Raline Shah,,IDN,id,Jakarta,@ralineshah,not_sure,,,influencer,Actress and environmental supporter
Pevita Pearce,,IDN,id,Jakarta,@pevpearce,not_sure,,,influencer,Actress and nature conservation advocate
Tasya Kamila,,IDN,id,Jakarta,@tasyakamila,@tasyakamila,,,influencer,Environmental management graduate and advocate
Ayu Ting Ting,,IDN,id,Jakarta,@ayutingting92,not_sure,,,influencer,Singer and environmental supporter
Afgansyah Reza,,IDN,id,Jakarta,@afgansyah.reza,@afgansyah_reza,,,influencer,Singer and environmental advocate
Rizky Febian,,IDN,id,Jakarta,@rizkyfbian,not_sure,,,influencer,Singer and environmental supporter
Gading Marten,,IDN,id,Jakarta,@gadiiing,not_sure,,,influencer,Actor and environmental advocate
Gisella Anastasia,,IDN,id,Jakarta,@gisel_la,not_sure,,,influencer,Singer and environmental supporter
Dewi Sandra,,IDN,id,Jakarta,@dewisandra,not_sure,,,influencer,Actress and environmental advocate
Bunga Citra Lestari,,IDN,id,Jakarta,@bclsinclair,not_sure,,,influencer,Singer and environmental supporter
Ariel Noah,,IDN,id,Jakarta,@arielnoah,not_sure,,,influencer,Singer and environmental advocate
Denny Sumargo,,IDN,id,Jakarta,@sumargodenny,not_sure,,,influencer,Actor and environmental supporter
Raffi Ahmad,,IDN,id,Jakarta,@raffinagita1717,not_sure,,,influencer,TV host and environmental advocate
Luna Maya,,IDN,id,Jakarta,@lunamaya,not_sure,,,influencer,Actress and environmental advocate
Dian Pelangi,,IDN,id,Jakarta,@dianpelangi,not_sure,,,influencer,Fashion designer and environmental supporter
Zaskia Adya Mecca,,IDN,id,Jakarta,@zaskiadyamecca,not_sure,,,influencer,Actress and environmental advocate
Giring Ganesha,,IDN,id,Jakarta,@giring,not_sure,,,influencer,Musician and environmental advocate
Titi Kamal,,IDN,id,Jakarta,@titi_kamall,not_sure,,,influencer,Actress and environmental supporter
Rossa,,IDN,id,Jakarta,@itsrossa910,not_sure,,,influencer,Singer and environmental advocate
Anji,,IDN,id,Jakarta,@duniamanji,not_sure,,,influencer,Singer and environmental supporter
Ayu Dewi,,IDN,id,Jakarta,@mrsayudewi,not_sure,,,influencer,TV host and environmental advocate
Baim Wong,,IDN,id,Jakarta,@baimwong,not_sure,,,influencer,Actor and environmental supporter
Paula Verhoeven,,IDN,id,Jakarta,@paula_verhoeven,not_sure,,,influencer,Model and environmental advocate
Ririn Ekawati,,IDN,id,Jakarta,@ririnekawati,not_sure,,,influencer,Actress and environmental supporter
Rizky Nazar,,IDN,id,Jakarta,@rizkynazar20,not_sure,,,influencer,Actor and environmental advocate
Jessica Iskandar,,IDN,id,Jakarta,@inijedar,not_sure,,,influencer,Actress and environmental supporter
Denny Cagur,,IDN,id,Jakarta,@dennycagur,not_sure,,,influencer,Comedian and environmental advocate
Uus,,IDN,id,Jakarta,@uusbiasaaja,not_sure,,,influencer,Comedian and environmental supporter
Dewi Perssik,,IDN,id,Jakarta,@dewiperssikreal,not_sure,,,influencer,Singer and environmental advocate
Indra Bekti,,IDN,id,Jakarta,@indrabekti,not_sure,,,influencer,TV host and environmental supporter
