name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Marina Silva,,PAU,en,Sao,@marinasilva_,@MarinaSilva,,Sustainability Advocate,influencer,Former Minister of Environment
Felipe Castanhari,,PAU,en,Sao,@fecastanhari,@FeCastanhari,,Canal Nostalgia,influencer,Popular science and education YouTuber
Aline Midlej,,PAU,en,Sao,@alinemidlej,@alinemidlej,,Journalist,influencer,Covers environmental issues
Gisele Bündchen,,PAU,en,Sao,@gisele,@giseleofficial,,Model and Activist,influencer,Environmental advocate
Caio Braz,,PAU,en,Sao,@caiobraz,@CaioBraz,,TV Host,influencer,Focuses on sustainability
Natalia Pasternak,,PAU,en,Sao,@taschnernatalia,not_sure,,Science Communicator,influencer,Promotes science and rational thinking
Bruno Gagliasso,,PAU,en,Sao,@brunogagliasso,@brunogagliasso,,Actor,influencer,Advocates for environmental causes
Fernanda Lima,,PAU,en,Sao,@fernandalimaoficial,@FernandaLima,,TV Presenter,influencer,Promotes sustainable living
Eduardo Jorge,,PAU,en,Sao,@eduardojorge43,@EduardoJorge43,,Politician,influencer,Green Party leader
Nina Silva,,PAU,en,Sao,@ninasilvaofficial,not_sure,,Black Money Movement,influencer,Tech and sustainability advocate
Leandra Leal,,PAU,en,Sao,@leandraleal,not_sure,,Actress,influencer,Supports environmental initiatives
Alexandre Rossi,,PAU,en,Sao,@drpet_alex,not_sure,,Animal Behaviorist,influencer,Advocates for animal welfare
Alice Braga,,PAU,en,Sao,@alicebraga_oficial,not_sure,,Actress,influencer,Supports environmental causes
Paola Carosella,,PAU,en,Sao,@paolacarosella,not_sure,,Chef,influencer,Promotes sustainable food practices
Mateus Solano,,PAU,en,Sao,@mateusolanooficial,not_sure,,Actor,influencer,Environmental advocate
Camila Pitanga,,PAU,en,Sao,@caiapitanga,not_sure,,Actress,influencer,Supports environmental initiatives
Rodrigo Santoro,,PAU,en,Sao,@rodrigosantoro,not_sure,,Actor,influencer,Environmental advocate
Adriana Calcanhotto,,PAU,en,Sao,@adrianacalcanhotto,not_sure,,Singer,influencer,Promotes ocean conservation
Fernanda Torres,,PAU,en,Sao,@fernandatorresoficial,not_sure,,Actress,influencer,Environmental advocate
Sabrina Sato,,PAU,en,Sao,@sabrinasato,@SabrinaSatoReal,,TV Host,influencer,Promotes sustainable living
Luciano Huck,,PAU,en,Sao,@lucianohuck,@LucianoHuck,,TV Presenter,influencer,Advocates for social and environmental issues
Ivete Sangalo,,PAU,en,Sao,@ivetesangalo,@ivetesangalo,,Singer,influencer,Supports environmental causes
Claudia Leitte,,PAU,en,Sao,@claudialeitte,@ClaudiaLeitte,,Singer,influencer,Promotes environmental awareness
Ana Paula Padrão,,PAU,en,Sao,@anapaulapadraooficial,not_sure,,Journalist,influencer,Covers environmental topics
Rafael Cortez,,PAU,en,Sao,@cortezrafa,not_sure,,Comedian,influencer,Advocates for sustainability
Fernanda Gentil,,PAU,en,Sao,@gentilfernanda,not_sure,,TV Presenter,influencer,Promotes social and environmental causes
Lázaro Ramos,,PAU,en,Sao,@olazaroramos,not_sure,,Actor,influencer,Supports environmental initiatives
Taís Araújo,,PAU,en,Sao,@taisdeverdade,not_sure,,Actress,influencer,Environmental advocate
Marina Ruy Barbosa,,PAU,en,Sao,@marinaruybarbosa,@mariruybarbosa,,Actress,influencer,Promotes sustainable fashion
Bruna Marquezine,,PAU,en,Sao,@brunamarquezine,not_sure,,Actress,influencer,Supports environmental causes
Thiago Lacerda,,PAU,en,Sao,@trlacerda,not_sure,,Actor,influencer,Environmental advocate
Deborah Secco,,PAU,en,Sao,@dedesecco,not_sure,,Actress,influencer,Supports environmental initiatives
Juliana Paes,,PAU,en,Sao,@julianapaes,not_sure,,Actress,influencer,Environmental advocate
Angélica Ksyvickis,,PAU,en,Sao,@angelicaksy,not_sure,,TV Host,influencer,Promotes sustainable living
Fábio Porchat,,PAU,en,Sao,@fabioporchat,@fabioporchat,,Comedian,influencer,Advocates for sustainability
Regina Casé,,PAU,en,Sao,@reginacase,not_sure,,Actress,influencer,Supports environmental causes
Patrícia Poeta,,PAU,en,Sao,@patriciapoeta,not_sure,,TV Presenter,influencer,Covers environmental topics
Sandy Leah,,PAU,en,Sao,@sandyoficial,not_sure,,Singer,influencer,Supports environmental initiatives
Rodrigo Faro,,PAU,en,Sao,@rodrigofaro,not_sure,,TV Host,influencer,Promotes sustainable living
Ana Maria Braga,,PAU,en,Sao,@anamaria16,not_sure,,TV Presenter,influencer,Covers environmental issues
Tatá Werneck,,PAU,en,Sao,@tatawerneck,@Tatawerneck,,Comedian,influencer,Advocates for sustainability
Rafinha Bastos,,PAU,en,Sao,@rafinhabastos,@rafinhabastos,,Comedian,influencer,Promotes environmental awareness
Carolina Dieckmann,,PAU,en,Sao,@loracarola,not_sure,,Actress,influencer,Supports environmental causes
Fernanda Souza,,PAU,en,Sao,@fernandasouzaoficial,not_sure,,Actress,influencer,Promotes sustainable living
Giovanna Ewbank,,PAU,en,Sao,@gio_ewbank,not_sure,,Actress,influencer,Supports environmental initiatives
Isis Valverde,,PAU,en,Sao,@isisvalverde,not_sure,,Actress,influencer,Environmental advocate
Letícia Sabatella,,PAU,en,Sao,@leticia_sabatella,not_sure,,Actress,influencer,Supports environmental causes
Grazi Massafera,,PAU,en,Sao,@massafera,not_sure,,Actress,influencer,Promotes sustainable living
Juliana Alves,,PAU,en,Sao,@julianaalvesiam,not_sure,,Actress,influencer,Supports environmental initiatives
Deborah Bloch,,PAU,en,Sao,@deborahblochoficial,not_sure,,Actress,influencer,Environmental advocate
Cauã Reymond,,PAU,en,Sao,@cauareymond,not_sure,,Actor,influencer,Supports environmental causes
