name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Yuka Hayashi,,JPN,ja,Tokyo,@yukahayashi,not_sure,,The Wall Street Journal,journalist,Covers Japan's climate policy
Hiroshi Ito,,JPN,ja,Tokyo,@hiroshi_ito_news,not_sure,,NHK,journalist,Reports on environmental issues
Naoko Nishizawa,,JPN,ja,Tokyo,@naoko_nishizawa,not_sure,,Asahi Shimbun,journalist,Focuses on geopolitics
Takashi Yamaguchi,,JPN,ja,Tokyo,@takashi_yamaguchi,not_sure,,Nikkei,journalist,Covers economic impacts of climate change
Mika Tanaka,,JPN,ja,Tokyo,@mika_tanaka,not_sure,,Tokyo Shimbun,journalist,Writes on biodiversity
Kenji Saito,,JPN,ja,Tokyo,@kenji_saito_journalist,not_sure,,Mainichi Shimbun,journalist,Reports on peace initiatives
Aya Kato,,JPN,ja,Tokyo,@aya_kato_news,not_sure,,Yomiuri Shimbun,journalist,Covers international affairs
Ryohei Suzuki,,JPN,ja,Tokyo,@ryohei_suzuki,not_sure,,Kyodo News,journalist,Focuses on climate change
Emi Nakamura,,JPN,ja,Tokyo,@emi_nakamura,not_sure,,Japan Times,journalist,Writes on nature conservation
Taro Yamamoto,,JPN,ja,Tokyo,@taro_yamamoto_news,not_sure,,Reuters Japan,journalist,Covers geopolitical issues
Yumi Matsuda,,JPN,ja,Tokyo,@yumi_matsuda,not_sure,,Bloomberg Japan,journalist,Reports on environmental policies
Koji Watanabe,,JPN,ja,Tokyo,@koji_watanabe,not_sure,,AFP Tokyo,journalist,Focuses on climate and energy
Sakura Fujimoto,,JPN,ja,Tokyo,@sakura_fujimoto,not_sure,,CNN Japan,journalist,Covers peace and conflict
Daisuke Tanaka,,JPN,ja,Tokyo,@daisuke_tanaka,not_sure,,BBC Japan,journalist,Reports on international relations
Akiko Yamashita,,JPN,ja,Tokyo,@akiko_yamashita,not_sure,,NHK World,journalist,Writes on global climate issues
Kazuo Nakamoto,,JPN,ja,Tokyo,@kazuo_nakamoto,not_sure,,The Japan News,journalist,Focuses on biodiversity
Haruka Sato,,JPN,ja,Tokyo,@haruka_sato,not_sure,,Nikkei Asian Review,journalist,Covers economic aspects of climate
Shinichi Morita,,JPN,ja,Tokyo,@shinichi_morita,not_sure,,Tokyo Broadcasting System,journalist,Reports on peace initiatives
Yoshiko Taniguchi,,JPN,ja,Tokyo,@yoshiko_taniguchi,not_sure,,Fuji TV,journalist,Covers environmental news
Masato Kuroda,,JPN,ja,Tokyo,@masato_kuroda,not_sure,,TV Asahi,journalist,Focuses on geopolitics
Nana Suzuki,,JPN,ja,Tokyo,@nana_suzuki,not_sure,,NHK Radio,journalist,Reports on climate change
Kenta Yamashiro,,JPN,ja,Tokyo,@kenta_yamashiro,not_sure,,Jiji Press,journalist,Covers international affairs
Miyuki Kobayashi,,JPN,ja,Tokyo,@miyuki_kobayashi,not_sure,,Sankei Shimbun,journalist,Writes on nature conservation
Shohei Takahashi,,JPN,ja,Tokyo,@shohei_takahashi,not_sure,,NHK News,journalist,Focuses on climate policy
Yuri Nishimura,,JPN,ja,Tokyo,@yuri_nishimura,not_sure,,Asahi TV,journalist,Covers peace and security
Takeshi Ogawa,,JPN,ja,Tokyo,@takeshi_ogawa,not_sure,,Tokyo FM,journalist,Reports on environmental issues
Aiko Matsumoto,,JPN,ja,Tokyo,@aiko_matsumoto,not_sure,,NHK International,journalist,Writes on global climate change
Rina Yamada,,JPN,ja,Tokyo,@rina_yamada,not_sure,,Japan Broadcasting Corporation,journalist,Focuses on biodiversity
