name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Yara Elmikaty,,EGY,ar,Cairo,@yaraelmikaty,not_sure,,Green Talks Podcast,podcaster,Hosts top climate podcast in Cairo
Ahmed El Gendy,,EGY,ar,Cairo,@ahmedelgendy,not_sure,,Peaceful Waves Podcast,podcaster,Focuses on peace and conflict resolution
Nourhan El Sayed,,EGY,ar,Cairo,@nourhanelsayed,not_sure,,Eco Voices,podcaster,Covers environmental protection topics
Omar Khaled,,EGY,ar,Cairo,@omarkhaled,not_sure,,Geopolitical Insights,podcaster,Discusses geopolitics and international affairs
Sara Mostafa,,EGY,ar,Cairo,@saramostafa,not_sure,,Nature Talks,podcaster,Focuses on biodiversity and nature conservation
Hassan Ali,,EGY,ar,Cairo,@hassanali,not_sure,,Climate Change Cairo,podcaster,Discusses climate change impacts in Cairo
Mona Hossam,,EGY,ar,Cairo,@monahossam,not_sure,,Peace Podcast,podcaster,Covers peace initiatives in the region
Karim Nabil,,EGY,ar,Cairo,@karimnabil,not_sure,,Green Future,podcaster,Focuses on sustainable development
Laila Ahmed,,EGY,ar,Cairo,@lailaahmed,not_sure,,The Climate Show,podcaster,Hosts a show on climate solutions
Mohamed Samir,,EGY,ar,Cairo,@mohamedsamir,not_sure,,Peace and Prosperity,podcaster,Discusses peace and economic development
Rania Hassan,,EGY,ar,Cairo,@raniahassan,not_sure,,Eco Cairo,podcaster,Covers environmental issues in Cairo
Tarek El Shamy,,EGY,ar,Cairo,@tarekelshamy,not_sure,,Geopolitics Today,podcaster,Focuses on current geopolitical events
Dina Farouk,,EGY,ar,Cairo,@dinafarouk,not_sure,,Nature's Voice,podcaster,Discusses nature conservation efforts
Heba El Sherif,,EGY,ar,Cairo,@hebaelsherif,not_sure,,Climate Conversations,podcaster,Hosts discussions on climate change
Youssef Adel,,EGY,ar,Cairo,@youssefadel,not_sure,,Peace Talks,podcaster,Focuses on peacebuilding initiatives
Nadia Mahmoud,,EGY,ar,Cairo,@nadiamahmoud,not_sure,,Eco Warriors,podcaster,Covers environmental activism
Ali Hassan,,EGY,ar,Cairo,@alihassan,not_sure,,Geopolitical Pulse,podcaster,Discusses international relations
Fatma El Zahraa,,EGY,ar,Cairo,@fatmaelzahraa,not_sure,,Nature's Call,podcaster,Focuses on biodiversity issues
Khaled Mostafa,,EGY,ar,Cairo,@khaledmostafa,not_sure,,Climate Cairo,podcaster,Discusses local climate initiatives
Amira Naguib,,EGY,ar,Cairo,@amiranaguib,not_sure,,Peaceful Dialogues,podcaster,Covers peace and diplomacy topics
Hany El Sayed,,EGY,ar,Cairo,@hanyelsayed,not_sure,,Eco Insights,podcaster,Focuses on environmental insights
Salma Khalil,,EGY,ar,Cairo,@salmakhalil,not_sure,,Geopolitical Lens,podcaster,Discusses geopolitical analysis
Ramy Abdelrahman,,EGY,ar,Cairo,@ramyabdelrahman,not_sure,,Nature's Path,podcaster,Focuses on nature conservation
Nour El Din,,EGY,ar,Cairo,@noureldin,not_sure,,Climate Dialogues,podcaster,Hosts climate change discussions
Mariam Hossam,,EGY,ar,Cairo,@mariamhossam,not_sure,,Peace and Harmony,podcaster,Covers peace initiatives
Omar El Masry,,EGY,ar,Cairo,@omarelmasry,not_sure,,Eco Cairo Podcast,podcaster,Discusses environmental topics
Lina Ahmed,,EGY,ar,Cairo,@linaahmed,not_sure,,Geopolitical Conversations,podcaster,Focuses on international affairs
Hussein El Gohary,,EGY,ar,Cairo,@husseinelgohary,not_sure,,Nature's Voice,podcaster,Covers biodiversity and conservation
Yasmin El Shazly,,EGY,ar,Cairo,@yasminelshazly,not_sure,,Climate Cairo,podcaster,Focuses on climate change in Cairo
Mohamed El Sayed,,EGY,ar,Cairo,@mohamedelsayed,not_sure,,Peaceful Solutions,podcaster,Discusses peace and conflict resolution
Reem Hassan,,EGY,ar,Cairo,@reemhassan,not_sure,,Eco Warriors,podcaster,Focuses on environmental activism
Tamer Nabil,,EGY,ar,Cairo,@tamernabil,not_sure,,Geopolitical Insights,podcaster,Discusses international relations
Hala Mostafa,,EGY,ar,Cairo,@halamostafa,not_sure,,Nature's Call,podcaster,Focuses on biodiversity issues
Nourhan Ali,,EGY,ar,Cairo,@nourhanali,not_sure,,Climate Cairo,podcaster,Discusses local climate initiatives
Ahmed Samir,,EGY,ar,Cairo,@ahmedsamir,not_sure,,Peaceful Dialogues,podcaster,Covers peace and diplomacy topics
Yasmine El Gendy,,EGY,ar,Cairo,@yasmineelgendy,not_sure,,Eco Insights,podcaster,Focuses on environmental insights
Karim El Shamy,,EGY,ar,Cairo,@karimelshamy,not_sure,,Geopolitical Lens,podcaster,Discusses geopolitical analysis
Dalia Hassan,,EGY,ar,Cairo,@daliahassan,not_sure,,Nature's Path,podcaster,Focuses on nature conservation
Rania El Sayed,,EGY,ar,Cairo,@raniaelsayed,not_sure,,Climate Dialogues,podcaster,Hosts climate change discussions
Hassan El Masry,,EGY,ar,Cairo,@hassanelmasry,not_sure,,Peace and Harmony,podcaster,Covers peace initiatives
Laila Naguib,,EGY,ar,Cairo,@lailanaguib,not_sure,,Eco Cairo Podcast,podcaster,Discusses environmental topics
Omar El Shazly,,EGY,ar,Cairo,@omarelshazly,not_sure,,Geopolitical Conversations,podcaster,Focuses on international affairs
Mona El Gohary,,EGY,ar,Cairo,@monaelgohary,not_sure,,Nature's Voice,podcaster,Covers biodiversity and conservation
Youssef El Shamy,,EGY,ar,Cairo,@youssefelshamy,not_sure,,Climate Cairo,podcaster,Focuses on climate change in Cairo
Nadia El Sayed,,EGY,ar,Cairo,@nadiaelsayed,not_sure,,Peaceful Solutions,podcaster,Discusses peace and conflict resolution
Heba El Gendy,,EGY,ar,Cairo,@hebaelgendy,not_sure,,Eco Warriors,podcaster,Focuses on environmental activism
Ali El Shazly,,EGY,ar,Cairo,@alielshazly,not_sure,,Geopolitical Insights,podcaster,Discusses international relations
Fatma El Gohary,,EGY,ar,Cairo,@fatmaelgohary,not_sure,,Nature's Call,podcaster,Focuses on biodiversity issues
Khaled El Sayed,,EGY,ar,Cairo,@khaledelsayed,not_sure,,Climate Cairo,podcaster,Discusses local climate initiatives
Amira El Shamy,,EGY,ar,Cairo,@amiraelshamy,not_sure,,Peaceful Dialogues,podcaster,Covers peace and diplomacy topics
Hany El Gohary,,EGY,ar,Cairo,@hanyelgohary,not_sure,,Eco Insights,podcaster,Focuses on environmental insights
Salma El Sayed,,EGY,ar,Cairo,@salmaelsayed,not_sure,,Geopolitical Lens,podcaster,Discusses geopolitical analysis
Ramy El Shazly,,EGY,ar,Cairo,@ramyelshazly,not_sure,,Nature's Path,podcaster,Focuses on nature conservation
Nour El Gendy,,EGY,ar,Cairo,@nourelgendy,not_sure,,Climate Dialogues,podcaster,Hosts climate change discussions
Mariam El Sayed,,EGY,ar,Cairo,@mariamelsayed,not_sure,,Peace and Harmony,podcaster,Covers peace initiatives
Omar El Gohary,,EGY,ar,Cairo,@omarelgohary,not_sure,,Eco Cairo Podcast,podcaster,Discusses environmental topics
Lina El Shamy,,EGY,ar,Cairo,@linaelshamy,not_sure,,Geopolitical Conversations,podcaster,Focuses on international affairs
Hussein El Sayed,,EGY,ar,Cairo,@husseinalsayed,not_sure,,Nature's Voice,podcaster,Covers biodiversity and conservation
Yasmin El Gohary,,EGY,ar,Cairo,@yasminelgohary,not_sure,,Climate Cairo,podcaster,Focuses on climate change in Cairo
Mohamed El Shamy,,EGY,ar,Cairo,@mohamedelshamy,not_sure,,Peaceful Solutions,podcaster,Discusses peace and conflict resolution
Reem El Gendy,,EGY,ar,Cairo,@reemelgendy,not_sure,,Eco Warriors,podcaster,Focuses on environmental activism
Tamer El Sayed,,EGY,ar,Cairo,@tamerelsayed,not_sure,,Geopolitical Insights,podcaster,Discusses international relations
Hala El Gohary,,EGY,ar,Cairo,@halaelgohary,not_sure,,Nature's Call,podcaster,Focuses on biodiversity issues
Nourhan El Shamy,,EGY,ar,Cairo,@nourhanelshamy,not_sure,,Climate Cairo,podcaster,Discusses local climate initiatives
Ahmed El Gohary,,EGY,ar,Cairo,@ahmedelgohary,not_sure,,Peaceful Dialogues,podcaster,Covers peace and diplomacy topics
Yasmine El Sayed,,EGY,ar,Cairo,@yasmineelsayed,not_sure,,Eco Insights,podcaster,Focuses on environmental insights
Karim El Gohary,,EGY,ar,Cairo,@karimelgohary,not_sure,,Geopolitical Lens,podcaster,Discusses geopolitical analysis
Dalia El Shamy,,EGY,ar,Cairo,@daliaelshamy,not_sure,,Nature's Path,podcaster,Focuses on nature conservation
Rania El Gohary,,EGY,ar,Cairo,@raniaelgohary,not_sure,,Climate Dialogues,podcaster,Hosts climate change discussions
Hassan El Sayed,,EGY,ar,Cairo,@hassanelsayed,not_sure,,Peace and Harmony,podcaster,Covers peace initiatives
Laila El Gohary,,EGY,ar,Cairo,@lailaelgohary,not_sure,,Eco Cairo Podcast,podcaster,Discusses environmental topics
Omar El Sayed,,EGY,ar,Cairo,@omarelsayed,not_sure,,Geopolitical Conversations,podcaster,Focuses on international affairs
Mona El Shamy,,EGY,ar,Cairo,@monaelshamy,not_sure,,Nature's Voice,podcaster,Covers biodiversity and conservation
Youssef El Gohary,,EGY,ar,Cairo,@youssefelgohary,not_sure,,Climate Cairo,podcaster,Focuses on climate change in Cairo
Nadia El Shamy,,EGY,ar,Cairo,@nadiaelshamy,not_sure,,Peaceful Solutions,podcaster,Discusses peace and conflict resolution
Heba El Gohary,,EGY,ar,Cairo,@hebaelgohary,not_sure,,Eco Warriors,podcaster,Focuses on environmental activism
Ali El Sayed,,EGY,ar,Cairo,@alielsayed,not_sure,,Geopolitical Insights,podcaster,Discusses international relations
Fatma El Shamy,,EGY,ar,Cairo,@fatmaelshamy,not_sure,,Nature's Call,podcaster,Focuses on biodiversity issues
Khaled El Gohary,,EGY,ar,Cairo,@khaledelgohary,not_sure,,Climate Cairo,podcaster,Discusses local climate initiatives
Amira El Sayed,,EGY,ar,Cairo,@amiraelsayed,not_sure,,Peaceful Dialogues,podcaster,Covers peace and diplomacy topics
Hany El Shamy,,EGY,ar,Cairo,@hanyelshamy,not_sure,,Eco Insights,podcaster,Focuses on environmental insights
Salma El Gohary,,EGY,ar,Cairo,@salmaelgohary,not_sure,,Geopolitical Lens,podcaster,Discusses geopolitical analysis
Ramy El Sayed,,EGY,ar,Cairo,@ramyelsayed,not_sure,,Nature's Path,podcaster,Focuses on nature conservation
Nour El Shamy,,EGY,ar,Cairo,@nourelshamy,not_sure,,Climate Dialogues,podcaster,Hosts climate change discussions
Mariam El Gohary,,EGY,ar,Cairo,@mariamgohary,not_sure,,Peace and Harmony,podcaster,Covers peace initiatives
Lina El Sayed,,EGY,ar,Cairo,@linaelsayed,not_sure,,Geopolitical Conversations,podcaster,Focuses on international affairs
Hussein El Shamy,,EGY,ar,Cairo,@husseinelshamy,not_sure,,Nature's Voice,podcaster,Covers biodiversity and conservation
Reem El Gohary,,EGY,ar,Cairo,@reemelgohary,not_sure,,Eco Warriors,podcaster,Focuses on environmental activism
Tamer El Shamy,,EGY,ar,Cairo,@tamerelshamy,not_sure,,Geopolitical Insights,podcaster,Discusses international relations
Ahmed El Shamy,,EGY,ar,Cairo,@ahmedelshamy,not_sure,,Peaceful Dialogues,podcaster,Covers peace and diplomacy topics
Yasmine El Gohary,,EGY,ar,Cairo,@yasmineelgohary,not_sure,,Eco Insights,podcaster,Focuses on environmental insights
Karim El Sayed,,EGY,ar,Cairo,@karimelsayed,not_sure,,Geopolitical Lens,podcaster,Discusses geopolitical analysis
Dalia El Gohary,,EGY,ar,Cairo,@daliaelgohary,not_sure,,Nature's Path,podcaster,Focuses on nature conservation
Rania El Shamy,,EGY,ar,Cairo,@raniaelshamy,not_sure,,Climate Dialogues,podcaster,Hosts climate change discussions
Hassan El Gohary,,EGY,ar,Cairo,@hassanelgohary,not_sure,,Peace and Harmony,podcaster,Covers peace initiatives
Laila El Sayed,,EGY,ar,Cairo,@lailaelsayed,not_sure,,Eco Cairo Podcast,podcaster,Discusses environmental topics
Mona El Sayed,,EGY,ar,Cairo,@monaelsayed,not_sure,,Nature's Voice,podcaster,Covers biodiversity and conservation
Nour Hassan,,EGY,ar,Cairo,@nourhassan,not_sure,,Radical Contemporary Podcast,podcaster,Hosts podcast on art and culture
Ahmed Younis,,EGY,ar,Cairo,@ahmedyounispodcast,not_sure,,Ahmed Younis Show,podcaster,Discusses social issues and culture
Maha El Nabawi,,EGY,ar,Cairo,@mahaelnabawi,not_sure,,Kerning Cultures,podcaster,Focuses on Middle East stories
