name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Wanjira Mathai,,KEN,en,Nairobi,@wanjiramaathai,@WanjiraMathai,,Green Belt Movement,influencer,Environmental activist and leader
Paula Kahumbu,,KEN,en,Nairobi,@paulakahumbu,@paulakahumbu,,WildlifeDirect,influencer,Wildlife conservationist and TV host
Boniface Mwangi,,KEN,en,Nairobi,@bonifacemwangi,@bonifacemwangi,,Pawa254,influencer,Activist and photojournalist
Mutua Matheka,,KEN,en,Nairobi,@truthslinger,@truthslinger,,Photographer,influencer,Photographer focusing on urban landscapes
Ciku Kimeria,,KEN,en,Nairobi,@cikukimeria,@cikukimeria,,Writer,influencer,Writer on African geopolitics
Juliani Kenya,,KEN,en,Nairobi,@julianikenya,@JulianiKenya,,Musician,influencer,Musician and social activist
Nanjira Sambuli,,KEN,en,Nairobi,@nanjira,@NiNanjira,,Digital Equality Advocate,influencer,Researcher on digital equality
Sharon Mundia,,KEN,en,Nairobi,@thisisess,@ThisIsEss,,Lifestyle Blogger,influencer,Influencer with interest in sustainable living
Adelle Onyango,,KEN,en,Nairobi,@adelleonyango,@ADELLEO,,Podcaster,influencer,Podcaster on social issues
Fena Gitu,,KEN,en,Nairobi,@fenamenal,@Fena_menal,,Musician,influencer,Musician advocating for social change
Njoki Ngumi,,KEN,en,Nairobi,@njokingumi,@njokingumi,,The Nest Collective,influencer,Creative focusing on social justice
Lorna Rutto,,KEN,en,Nairobi,@lornarutto,not_sure,,EcoPost,influencer,Entrepreneur in recycling
John-Allan Namu,,KEN,en,Nairobi,@johnallannamu,@johnallannamu,,Africa Uncensored,influencer,Investigative journalist
Amina Abdi Rabar,,KEN,en,Nairobi,@aminaabdirabar,@aminaabdirabar,,TV Host,influencer,Media personality and host
Patricia Kihoro,,KEN,en,Nairobi,@misskihoro,@misskihoro,,Actress and Singer,influencer,Performer with interest in social issues
Michael Joseph,,KEN,en,Nairobi,@michaeljosephkenya,not_sure,,Safaricom,influencer,Business leader with social impact focus
Caroline Mutoko,,KEN,en,Nairobi,@caroline.mutoko,@CarolineMutoko,,Media Personality,influencer,Influential media personality
Sauti Sol,,KEN,en,Nairobi,@sautisol,@sautisol,,Musicians,influencer,Band advocating for social issues
Eric Wainaina,,KEN,en,Nairobi,@ericwainainakenya,not_sure,,Musician,influencer,Musician with focus on peace
Wangari Maathai Foundation,,KEN,en,Nairobi,@wangarimaathaifoundation,not_sure,,Foundation,influencer,Promotes environmental conservation
Kobi Kihara,,KEN,en,Nairobi,@kobikihara,not_sure,,TV Host,influencer,Media personality and host
Larry Madowo,,KEN,en,Nairobi,@larrymadowo,@LarryMadowo,,Journalist,influencer,Journalist with global reach
Victoria Rubadiri,,KEN,en,Nairobi,@victoria_rubadiri,@VickyRubadiri,,TV Anchor,influencer,News anchor with focus on social issues
Jeff Koinange,,KEN,en,Nairobi,@koinangejeff,@KoinangeJeff,,Journalist,influencer,Renowned journalist and host
Julie Gichuru,,KEN,en,Nairobi,@juliegichuru,@JulieGichuru,,Media Personality,influencer,Media personality with focus on peace
Aly-Khan Satchu,,KEN,en,Nairobi,@alykhansatchu,@alykhansatchu,,Financial Analyst,influencer,Analyst on geopolitics and economy
Khaligraph Jones,,KEN,en,Nairobi,@khaligraph_jones,@KHALIGRAPH,,Musician,influencer,Rapper with social commentary
Bien-Aimé Baraza,,KEN,en,Nairobi,@bienaimesol,not_sure,,Sauti Sol,influencer,Musician advocating for social issues
Blaze Kenya,,KEN,en,Nairobi,@blazekenya,not_sure,,Youth Empowerment,influencer,Youth empowerment program
